team,player,image_url,file_path
DenverNuggets,Tamar Bates,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683933.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\tamar_bates.png
DenverNuggets,Christian Braun,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431767.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\christian_braun.png
DenverNuggets,Bruce Brown,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4065670.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\bruce_brown.png
DenverNuggets,Aaron Gordon,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3064290.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\aaron_gordon.png
DenverNuggets,Tim Hardaway Jr.,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2528210.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\tim_hardaway_jr.png
DenverNuggets,DaRon Holmes II,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433607.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\daron_holmes_ii.png
DenverNuggets,Cameron Johnson,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3138196.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\cameron_johnson.png
DenverNuggets,Nikola Jokic,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3112335.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\nikola_jokic.png
DenverNuggets,Curtis Jones,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4898369.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\curtis_jones.png
DenverNuggets,Spencer Jones,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4592427.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\spencer_jones.png
DenverNuggets,Jamal Murray,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3936299.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\jamal_murray.png
DenverNuggets,Zeke Nnaji,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431690.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\zeke_nnaji.png
DenverNuggets,Jalen Pickett,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4398390.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\jalen_pickett.png
DenverNuggets,Julian Strawther,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432181.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\julian_strawther.png
DenverNuggets,Hunter Tyson,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395620.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\hunter_tyson.png
DenverNuggets,Jonas Valanciunas,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6477.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\jonas_valanciunas.png
DenverNuggets,Peyton Watson,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4576087.png&h=80&w=110&scale=crop,nba_rosters\denvernuggets\peyton_watson.png
