Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,James Harden,36.0,PG,25,25,885,22.7,0.624,0.551,0.484,2.0,15.1,8.6,38.1,1.8,1.1,15.8,30.7,2.2,0.5,2.7,0.146,5.8,-0.7,5.1,1.6,
2.0,Ivica Zubac,28.0,C,26,26,854,19.6,0.63,0.0,0.242,12.6,27.9,20.4,12.9,0.7,2.8,13.5,19.9,1.6,0.7,2.3,0.127,1.2,-1.1,0.0,0.4,
3.0,John Collins,28.0,PF,26,17,699,12.2,0.575,0.309,0.232,5.4,14.2,9.8,4.2,1.5,2.2,12.6,19.5,0.1,0.4,0.4,0.029,-2.5,-1.6,-4.1,-0.4,
4.0,Kris Dunn,31.0,PG,26,20,685,11.7,0.587,0.428,0.175,3.6,8.1,5.9,15.9,3.0,0.6,15.6,13.6,0.5,0.4,0.9,0.064,-2.3,0.7,-1.6,0.1,
5.0,Kawhi Leonard,34.0,SF,16,16,522,23.6,0.603,0.326,0.255,2.7,17.2,10.0,17.5,3.0,1.1,8.0,30.3,1.0,0.5,1.5,0.138,4.4,0.0,4.4,0.8,
6.0,Nicolas Batum,37.0,PF,25,2,493,7.7,0.571,0.947,0.074,3.1,13.1,8.1,5.5,2.1,2.2,15.5,10.3,0.0,0.3,0.3,0.031,-2.6,0.1,-2.4,-0.1,
7.0,Kobe Sanders,23.0,SG,18,3,341,7.1,0.572,0.533,0.267,2.8,8.8,5.8,9.2,1.5,0.6,19.9,16.2,-0.2,0.1,-0.1,-0.011,-4.5,-1.5,-6.0,-0.3,
8.0,Derrick Jones Jr.,28.0,SF,13,13,324,14.7,0.652,0.5,0.304,4.0,7.1,5.6,6.5,1.7,4.5,8.7,15.5,0.5,0.2,0.7,0.102,0.6,-0.3,0.2,0.2,
9.0,Bogdan Bogdanović,33.0,SG,12,2,297,10.4,0.543,0.63,0.207,2.0,13.6,7.8,17.9,1.3,0.3,12.2,16.9,0.2,0.1,0.3,0.041,-1.2,-0.8,-2.0,0.0,
10.0,Brook Lopez,37.0,C,19,0,268,9.0,0.525,0.68,0.11,1.8,12.5,7.2,5.0,1.1,5.8,11.8,19.5,-0.3,0.2,-0.1,-0.016,-3.5,-1.0,-4.5,-0.2,
11.0,Chris Paul,40.0,PG,16,0,228,8.1,0.413,0.536,0.036,3.1,11.1,7.1,31.6,2.4,0.0,22.0,14.0,-0.1,0.1,0.0,-0.004,-4.1,-0.7,-4.8,-0.2,
12.0,Kobe Brown,26.0,PF,17,0,218,10.6,0.514,0.672,0.262,5.9,14.8,10.4,11.6,1.6,0.9,12.8,15.7,0.0,0.1,0.1,0.03,-1.3,-1.2,-2.4,0.0,
13.0,Cam Christie,20.0,SG,17,0,188,11.1,0.492,0.468,0.484,5.0,17.2,11.1,8.4,1.6,1.0,7.4,19.0,0.0,0.1,0.1,0.026,-2.3,-1.4,-3.7,-0.1,
14.0,Bradley Beal,32.0,SG,6,6,121,5.1,0.476,0.396,0.167,1.9,2.9,2.4,12.4,1.2,0.0,14.9,22.0,-0.2,0.0,-0.2,-0.089,-6.7,-4.3,-11.0,-0.3,
15.0,Jordan Miller,26.0,SF,5,0,76,19.9,0.687,0.52,0.64,10.8,12.1,11.5,12.0,1.3,0.0,13.5,21.4,0.2,0.0,0.3,0.165,4.6,-2.2,2.4,0.1,
16.0,Yanic Konan Niederhäuser,22.0,C,12,0,60,21.1,0.709,0.0,0.667,13.7,17.3,15.5,8.3,0.0,4.8,14.7,20.0,0.2,0.0,0.2,0.141,1.0,-1.6,-0.5,0.0,
17.0,Jahmyl Telfort,24.0,PF,8,0,32,-5.4,0.087,1.0,1.0,0.0,10.8,5.5,3.8,1.5,0.0,14.8,9.3,-0.1,0.0,-0.1,-0.179,-12.2,-2.0,-14.3,-0.1,
,Team Totals,,,26,26,6291,,0.589,0.424,0.284,,,,,,,,,5.7,3.5,9.2,0.07,-0.2,-0.8,-0.9,1.7,
