Player,Team,Update,Description
Bradley Beal,Los Angeles Clippers,"Wed, Nov 12, 2025","Out For Season (Hip) - Beal will undergo season-ending surgery on his left hip, as per ESPN's Shams Charania reports."
James Harden,Los Angeles Clippers,"Wed, Dec 17, 2025",Out (Calf) - The Clippers listed Harden as Out on Thursday's (Dec. 18) game against the Thunder.
Derrick Jones Jr.,Los Angeles Clippers,"Mon, Nov 17, 2025",Out (Knee) - The Clippers said Jones Jr. to miss at least 6 weeks with sprained MCL.
Yanic Konan Niederhäuser,Los Angeles Clippers,"Wed, Dec 17, 2025",Out (Knee) - The Clippers listed Niederhauser as Out on Thursday's (Dec. 18) game against the Thunder.
