Rk,Unnamed: 1,Salary
1,Damian Lillard,"$39,344,900"
2,Eric Bledsoe,"$18,125,000"
3,Joe Ingles,"$12,436,364"
4,Jusuf Nurkić,"$12,000,000"
5,Josh Hart,"$12,000,000"
6,Anfernee Simons,"$3,938,818"
7,Justise Winslow,"$3,902,439"
8,Andrew Nicholson,"$2,844,430"
9,Keon Johnson,"$2,553,240"
10,Cody Zeller,"$2,389,641"
11,Ben McLemore,"$2,389,641"
12,Nassir Little,"$2,316,240"
13,Dennis Smith,"$1,789,256"
14,Marcos Louzada Silva,"$1,786,878"
15,Elijah Hughes,"$1,517,981"
16,CJ Elleby,"$1,517,981"
17,Greg Brown,"$925,258"
18,Drew Eubanks,"$477,024"
19,Trendon Watford,"$436,482"
20,Kris Dunn,"$312,079"
21,Reggie Perry,"$188,272"
22,Cameron McGriff,"$53,176"
23,Jarron Cumberland,"$53,176"
24,Brandon Williams,"$53,176"
25,Keljin Blevins,$0
