No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
21,Keljin Blevins,SF,6-4,200,"November 24, 1995",us US,1,"Southern Miss, Montana State"
4,Greg Brown III,SF,6-7,206,"September 1, 2001",us US,R,Texas
33,Robert Covington,PF,6-7,209,"December 14, 1990",us US,8,Tennessee State
34,Jarron Cumberland,SG,6-5,205,"September 22, 1997",us US,R,Cincinnati
18,Kris Dunn,PG,6-3,205,"March 18, 1994",us US,5,Providence
16,CJ Elleby,SF,6-6,200,"June 16, 2000",us US,1,Washington State
24,Drew Eubanks,C,6-10,245,"February 1, 1997",us US,3,Oregon State
11,Josh Hart,SG,6-5,215,"March 6, 1995",us US,4,Villanova
19,Elijah Hughes,SG,6-5,215,"March 10, 1998",us US,1,"Syracuse, East Carolina University"
6,Keon Johnson,SG,6-5,185,"March 10, 2002",us US,R,Tennessee
0,Damian Lillard,PG,6-2,200,"July 15, 1990",us US,9,Weber State
9,Nassir Little,SF,6-6,220,"February 11, 2000",us US,2,UNC
35,Didi Louzada,SG,6-5,188,"February 7, 1999",br BR,1,
3,CJ McCollum,SG,6-3,190,"September 19, 1991",us US,8,Lehigh
8,Cameron McGriff,SF,6-7,220,"September 30, 1997",us US,R,Oklahoma State
23,Ben McLemore,SG,6-3,195,"February 11, 1993",us US,8,Kansas
11,Larry Nance Jr.,C,6-6,245,"January 1, 1993",us US,6,Wyoming
27,Jusuf Nurkić,C,6-11,290,"August 23, 1994",ba BA,7,
"10, 18",Reggie Perry,PF,6-8,250,"March 21, 2000",us US,1,Mississippi State
24,Norman Powell,SF,6-3,215,"May 25, 1993",us US,6,UCLA
1,Anfernee Simons,SG,6-3,200,"June 8, 1999",us US,3,
10,Dennis Smith Jr.,PG,6-2,205,"November 25, 1997",us US,4,NC State
17,Tony Snell,SG,6-6,213,"November 10, 1991",us US,8,New Mexico
2,Trendon Watford,SF,6-8,237,"November 9, 2000",us US,R,LSU
"5, 8",Brandon Williams,PG,6-1,190,"November 22, 1999",us US,R,Arizona
26,Justise Winslow,PF,6-6,222,"March 26, 1996",us US,6,Duke
40,Cody Zeller,C,6-11,240,"October 5, 1992",us US,8,Indiana
