Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jimmy Butler,32,SF,17,17,629,9.5,18.8,0.506,1.3,3.9,0.338,8.2,14.9,0.55,0.541,6.4,7.6,0.841,2.3,4.8,7.2,4.5,2.0,0.6,1.4,1.4,26.7,
2,Bam Adebayo,24,C,18,18,614,6.1,10.3,0.594,0.0,0.1,0.0,6.1,10.2,0.598,0.594,3.4,4.5,0.763,2.2,6.3,8.4,2.8,1.1,0.8,2.2,3.2,15.6,
3,Max Strus,25,SF,18,18,523,4.7,12.5,0.374,3.2,9.8,0.331,1.4,2.8,0.525,0.503,0.9,1.2,0.722,1.0,4.0,5.0,2.6,1.0,0.6,1.4,3.8,13.5,
4,P.J. Tucker,36,PF,18,18,509,3.8,7.7,0.495,1.6,3.6,0.451,2.2,4.1,0.534,0.601,0.8,1.1,0.688,2.5,4.7,7.2,2.3,1.0,0.4,0.9,3.5,10.0,
5,Gabe Vincent,25,PG,18,8,423,4.3,11.1,0.382,2.1,6.9,0.309,2.1,4.3,0.5,0.477,1.6,1.7,0.95,0.3,2.7,3.0,4.9,1.2,0.4,2.1,3.5,12.3,
6,Tyler Herro,22,SG,15,0,381,7.0,17.1,0.409,1.5,6.6,0.229,5.5,10.5,0.523,0.453,2.4,2.6,0.926,0.7,4.8,5.5,4.0,0.9,0.6,2.6,2.0,17.9,
7,Victor Oladipo,29,SG,15,1,368,4.9,13.3,0.368,1.7,6.1,0.274,3.2,7.2,0.446,0.43,4.1,5.2,0.792,0.4,4.6,5.0,3.0,1.9,0.4,2.4,2.8,15.6,
8,Kyle Lowry,35,PG,10,10,295,3.1,10.5,0.291,1.6,6.6,0.241,1.5,3.9,0.375,0.366,1.8,2.3,0.789,0.4,4.0,4.4,5.7,1.5,0.9,2.3,3.5,9.5,
9,Caleb Martin,26,SF,17,0,209,5.5,13.8,0.4,1.7,5.7,0.303,3.8,8.1,0.468,0.463,0.3,1.0,0.333,2.1,4.3,6.4,0.9,1.7,0.3,1.7,2.9,13.1,
10,Duncan Robinson,27,SG,13,0,159,5.7,12.9,0.439,4.1,10.6,0.383,1.6,2.3,0.7,0.596,1.1,1.4,0.833,0.5,4.8,5.2,1.1,0.9,0.2,0.7,5.0,16.5,
11,Dewayne Dedmon,32,C,14,0,138,5.5,11.7,0.467,0.3,2.6,0.1,5.2,9.1,0.571,0.478,2.6,3.1,0.833,3.9,7.0,11.0,1.3,0.3,0.8,1.8,9.4,13.8,
12,Omer Yurtseven,23,C,9,0,38,11.4,17.1,0.667,0.0,1.9,0.0,11.4,15.2,0.75,0.667,0.9,2.8,0.333,0.9,5.7,6.6,2.8,0.0,0.9,0.0,1.9,23.7,
13,Haywood Highsmith,25,SF,8,0,31,3.5,8.1,0.429,3.5,5.8,0.6,0.0,2.3,0.0,0.643,0.0,0.0,,2.3,3.5,5.8,3.5,0.0,0.0,3.5,2.3,10.5,
14,Markieff Morris,32,PF,1,0,3,0.0,12.0,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,12.0,24.0,0.0,
