Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Tyler Herro,22.0,66,10,2151,501,1122,0.447,175,439,0.399,326,683,0.477,0.525,190,219,0.868,32,297,329,263,44,8,174,95,1367,0,6MOY-1
2.0,Kyle Lowry,35.0,63,63,2133,276,627,0.44,144,382,0.377,132,245,0.539,0.555,148,174,0.851,33,249,282,474,67,17,168,177,844,2,
3.0,Duncan Robinson,27.0,79,68,2043,290,726,0.399,232,624,0.372,58,102,0.569,0.559,51,61,0.836,24,179,203,129,42,14,60,201,863,0,
4.0,P.J. Tucker,36.0,71,70,1981,207,428,0.484,80,193,0.415,127,235,0.54,0.577,45,61,0.738,100,287,387,149,58,15,66,161,539,0,
5.0,Jimmy Butler,32.0,57,57,1931,398,829,0.48,27,116,0.233,371,713,0.52,0.496,396,455,0.87,102,234,336,312,94,27,121,88,1219,4,AS
6.0,Bam Adebayo,24.0,56,56,1825,406,729,0.557,0,6,0.0,406,723,0.562,0.557,256,340,0.753,137,427,564,190,80,44,148,171,1068,0,"DPOY-4,DEF2"
7.0,Gabe Vincent,25.0,68,27,1589,214,513,0.417,119,323,0.368,95,190,0.5,0.533,44,54,0.815,22,104,126,210,62,12,98,158,591,0,
8.0,Max Strus,25.0,68,16,1587,249,564,0.441,181,442,0.41,68,122,0.557,0.602,42,53,0.792,24,178,202,92,28,16,57,116,721,0,
9.0,Caleb Martin,26.0,60,12,1372,208,410,0.507,64,155,0.413,144,255,0.565,0.585,71,93,0.763,70,160,230,64,58,30,52,104,551,0,
10.0,Dewayne Dedmon,32.0,67,15,1065,164,290,0.566,19,47,0.404,145,243,0.597,0.598,75,100,0.75,105,281,386,47,24,42,70,174,422,0,
11.0,Omer Yurtseven,23.0,56,12,706,130,247,0.526,1,11,0.091,129,236,0.547,0.528,38,61,0.623,85,209,294,49,17,20,41,84,299,0,
12.0,Markieff Morris,32.0,17,1,298,54,114,0.474,13,39,0.333,41,75,0.547,0.531,8,9,0.889,17,28,45,23,6,1,20,33,129,0,
13.0,KZ Okpala,22.0,21,0,244,30,69,0.435,9,26,0.346,21,43,0.488,0.5,8,11,0.727,11,30,41,14,4,7,5,25,77,0,
14.0,Kyle Guy,24.0,19,0,186,26,65,0.4,14,40,0.35,12,25,0.48,0.508,8,12,0.667,4,13,17,17,7,1,13,12,74,0,
15.0,Victor Oladipo,29.0,8,1,173,35,73,0.479,15,36,0.417,20,37,0.541,0.582,14,19,0.737,3,20,23,28,5,1,16,13,99,0,
16.0,Haywood Highsmith,25.0,19,1,163,16,46,0.348,9,28,0.321,7,18,0.389,0.446,2,5,0.4,10,16,26,6,2,3,3,13,43,0,
17.0,Marcus Garrett,23.0,12,0,128,5,21,0.238,1,4,0.25,4,17,0.235,0.262,2,5,0.4,9,14,23,7,5,3,2,16,13,0,
18.0,Chris Silva,25.0,9,0,88,8,15,0.533,0,0,,8,15,0.533,0.533,10,12,0.833,13,22,35,7,0,1,8,20,26,0,
19.0,Udonis Haslem,41.0,13,0,83,14,31,0.452,1,4,0.25,13,27,0.481,0.468,3,3,1.0,4,21,25,4,1,1,5,15,32,0,
20.0,Mychal Mulder,27.0,2,1,44,4,10,0.4,4,8,0.5,0,2,0.0,0.6,2,2,1.0,0,3,3,2,0,1,0,1,14,0,
21.0,Javonte Smart,22.0,4,0,40,8,17,0.471,4,9,0.444,4,8,0.5,0.588,0,0,,1,4,5,2,2,1,2,1,20,0,
22.0,Nik Stauskas,28.0,2,0,24,3,8,0.375,2,4,0.5,1,4,0.25,0.5,3,4,0.75,1,2,3,1,0,0,0,1,11,0,
,Team Totals,,82,82,19854,3246,6954,0.467,1114,2936,0.379,2132,4018,0.531,0.547,1416,1753,0.808,807,2778,3585,2090,606,265,1129,1679,9022,6,
