Rk,Unnamed: 1,Salary
1,Jimmy Butler,"$36,016,200"
2,Bam Adebayo,"$28,103,550"
3,Kyle Lowry,"$26,984,128"
4,Duncan Robinson,"$15,560,000"
5,P.J. Tucker,"$7,000,000"
6,Ryan Anderson,"$5,214,584"
7,Tyler Herro,"$4,004,280"
8,Udonis Haslem,"$2,641,691"
9,Markieff Morris,"$2,641,691"
10,Dewayne Dedmon,"$2,389,641"
11,Victor Oladipo,"$2,389,641"
12,Gabe Vincent,"$1,669,178"
13,Max Strus,"$1,669,178"
14,Omer Yurtseven,"$1,489,065"
15,Haywood Highsmith,"$547,701"
16,Caleb Martin,"$527,615"
17,Chris Silva,"$383,720"
18,Kyle Guy,"$191,860"
19,Mario Chalmers,"$138,019"
20,Nik Stauskas,"$111,457"
21,Zylan Cheatham,"$85,578"
22,Aric Holman,"$53,176"
23,Javonte Smart,$0
24,Mychal Mulder,$0
25,Marcus Garrett,$0
