Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Jose Alvarado,25.0,PG,4,0,62,0.15,0.333,0.071,0.175,,0.175,0.0,0.7,32.0,61.0,20.0,32.0,,30.0,0.0,177.0,
2.0,Dyson Daniels,20.0,PG,3,0,17,0.333,0.5,0.0,0.333,,0.333,0.0,0.333,70.0,92.0,0.0,61.0,,57.0,0.0,84.0,
3.0,Jordan Hawkins,21.0,SG,3,0,12,0.0,0.0,0.0,0.0,,0.0,0.0,0.75,0.0,0.0,0.0,0.0,,0.0,0.0,190.0,
4.0,Brandon Ingram,26.0,SF,4,4,145,0.345,0.362,0.25,0.364,0.895,0.45,0.345,0.145,73.0,66.0,68.0,67.0,114.0,78.0,141.0,37.0,
5.0,Herbert Jones,25.0,SF,4,4,141,0.39,0.471,0.333,0.488,1.0,0.562,0.293,0.585,82.0,86.0,91.0,89.0,128.0,97.0,120.0,148.0,
6.0,E.J. Liddell,23.0,PF,1,0,3,,,,,,,,,,,,,,,,,
7.0,Naji Marshall,26.0,SF,4,0,84,0.429,0.462,0.4,0.536,1.0,0.587,0.214,0.536,90.0,85.0,109.0,98.0,128.0,101.0,88.0,136.0,
8.0,CJ McCollum,32.0,PG,4,4,148,0.419,0.533,0.241,0.466,1.0,0.474,0.027,0.392,88.0,98.0,66.0,85.0,128.0,82.0,11.0,99.0,
9.0,Trey Murphy III,23.0,SF,4,4,168,0.375,0.444,0.333,0.479,,0.479,0.0,0.625,79.0,82.0,91.0,88.0,,83.0,0.0,158.0,
10.0,Larry Nance Jr.,31.0,C,4,0,84,0.588,0.692,0.25,0.618,0.667,0.636,0.353,0.235,124.0,127.0,68.0,113.0,85.0,110.0,144.0,60.0,
11.0,Jeremiah Robinson-Earl,23.0,PF,1,0,5,0.5,0.5,,0.5,0.0,0.347,1.0,0.0,105.0,92.0,,91.0,0.0,60.0,409.0,0.0,
12.0,Matt Ryan,26.0,SF,1,0,3,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,253.0,
13.0,Jonas Valančiūnas,31.0,C,4,4,90,0.524,0.537,0.0,0.524,0.824,0.586,0.405,0.024,110.0,98.0,0.0,96.0,105.0,101.0,166.0,6.0,
,Team Totals,,,4,4,962,0.396,0.478,0.267,0.448,0.859,0.489,0.189,0.388,84.0,88.0,73.0,82.0,110.0,84.0,78.0,98.0,
