Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Trae Young,22.0,PG,16,16,603,100,0,0,0,0,-0.2,3.5,44,16,13,1,47,2,353,7,23,
2.0,Bogdan Bogdanović,28.0,SG,18,18,598,0,39,61,0,0,1.3,8.0,16,8,22,2,6,3,127,3,9,
3.0,John Collins,23.0,PF,18,18,576,0,0,12,88,0,1.5,8.2,8,7,24,5,15,11,39,6,8,
4.0,Clint Capela,26.0,C,18,18,569,0,0,0,0,100,1.9,9.3,3,7,25,3,19,5,40,1,11,
5.0,Kevin Huerter,22.0,SG,18,10,558,2,97,2,0,0,-3.8,-7.3,11,5,19,0,9,3,132,4,5,
6.0,Danilo Gallinari,32.0,PF,18,0,442,0,0,0,73,27,-3.2,-4.0,6,5,13,3,18,2,36,2,4,
7.0,Lou Williams,34.0,PG,18,2,277,78,22,0,0,0,-2.7,-2.1,16,5,3,0,13,1,95,1,3,
8.0,Onyeka Okongwu,20.0,C,18,0,166,0,0,0,2,98,-8.2,-8.6,0,1,13,3,9,1,6,1,5,
9.0,De'Andre Hunter,23.0,SF,5,5,152,0,0,93,7,0,13.4,17.6,1,4,4,2,5,3,8,1,3,
10.0,Solomon Hill,29.0,PF,14,3,145,0,0,98,2,0,-17.8,-20.0,0,1,4,0,2,2,6,0,0,
11.0,Cam Reddish,21.0,SF,4,0,92,0,3,90,7,0,-2.3,-1.2,1,2,5,1,3,1,17,1,3,
12.0,Tony Snell,29.0,SG,9,0,66,0,23,77,0,0,-24.8,-25.6,4,0,2,0,0,0,4,0,0,
13.0,Kris Dunn,26.0,PG,5,0,33,100,0,0,0,0,8.9,10.5,2,2,3,0,2,0,12,0,1,
14.0,Skylar Mays,23.0,SG,7,0,17,16,84,0,0,0,-2.5,-1.3,0,1,1,0,0,0,2,0,0,
15.0,Nathan Knight,23.0,PF,6,0,14,0,0,16,84,0,-28.4,-27.7,0,0,2,0,1,0,0,0,2,
16.0,Bruno Fernando,22.0,C,6,0,12,0,0,0,0,100,39.0,40.8,0,0,0,0,1,0,0,0,0,
,Team Totals,,,18,18,4320,20,20,20,20,20,-1.2,1.7,112,64,153,20,150,34,877,27,77,
