Rk,Unnamed: 1,Salary
1,Danilo Gallinari,"$19,500,000"
2,Bogdan Bogdanović,"$18,000,000"
3,Clint Capela,"$16,000,000"
4,Tony Snell,"$12,178,571"
5,Lou Williams,"$8,000,000"
6,De'Andre Hunter,"$7,422,000"
7,Trae Young,"$6,571,800"
8,Onyeka Okongwu,"$5,813,640"
9,Kris Dunn,"$4,767,000"
10,Cam Reddish,"$4,458,000"
11,John Collins,"$4,137,302"
12,Kevin Huerter,"$2,761,920"
13,Brandon Goodwin,"$1,701,593"
14,Solomon Hill,"$1,620,564"
15,Bruno Fernando,"$1,517,981"
16,Khyri Thomas,"$744,684"
17,Nathan Knight,$0
18,Skylar Mays,$0
