Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Bogdan Bogdanović,28.0,SG,18,18,598,0.39,0.472,0.329,0.484,0.706,0.493,0.068,0.574,84,89,90.0,90,91.0,86,28,147,
2.0,Clint Capela,26.0,C,18,18,569,0.603,0.603,,0.603,0.436,0.591,0.287,0.0,129,114,,112,56.0,103,116,0,
3.0,John Collins,23.0,PF,18,18,576,0.549,0.635,0.357,0.604,0.833,0.632,0.198,0.308,118,120,97.0,112,107.0,111,80,79,
4.0,Kris Dunn,26.0,PG,5,0,33,0.2,0.25,0.0,0.2,1.0,0.444,0.8,0.2,43,47,0.0,37,129.0,78,324,51,
5.0,Bruno Fernando,22.0,C,6,0,12,0.667,0.667,,0.667,1.0,0.773,0.667,0.0,143,126,,124,129.0,135,270,0,
6.0,Danilo Gallinari,32.0,PF,18,0,442,0.425,0.444,0.405,0.523,0.942,0.587,0.299,0.483,91,84,110.0,97,121.0,103,121,123,
7.0,Solomon Hill,29.0,PF,14,3,145,0.25,0.5,0.167,0.313,0.5,0.33,0.167,0.75,54,94,45.0,58,64.0,58,68,191,
8.0,Kevin Huerter,22.0,SG,18,10,558,0.428,0.518,0.347,0.519,0.706,0.531,0.094,0.528,92,98,95.0,97,91.0,93,38,135,
9.0,De'Andre Hunter,23.0,SF,5,5,152,0.4,0.414,0.375,0.467,0.75,0.519,0.356,0.356,86,78,102.0,87,96.0,91,144,91,
10.0,Nathan Knight,23.0,PF,6,0,14,0.286,0.4,0.0,0.286,0.0,0.254,0.286,0.286,61,75,0.0,53,0.0,44,116,73,
11.0,Skylar Mays,23.0,SG,7,0,17,0.8,0.8,,0.8,,0.8,0.0,0.0,172,151,,149,,140,0,0,
12.0,Onyeka Okongwu,20.0,C,18,0,166,0.548,0.567,0.0,0.548,0.667,0.596,0.677,0.032,118,107,0.0,102,86.0,104,274,8,
13.0,Cam Reddish,21.0,SF,4,0,92,0.528,0.455,0.643,0.653,0.8,0.668,0.139,0.389,113,86,175.0,121,103.0,117,56,99,
14.0,Tony Snell,29.0,SG,9,0,66,0.125,0.2,0.091,0.156,,0.156,0.0,0.688,27,38,25.0,29,,27,0,175,
15.0,Lou Williams,34.0,PG,18,2,277,0.455,0.463,0.433,0.514,0.963,0.57,0.245,0.273,98,87,118.0,95,124.0,100,99,70,
16.0,Trae Young,22.0,PG,16,16,603,0.418,0.488,0.313,0.481,0.866,0.551,0.373,0.401,90,92,85.0,89,111.0,96,151,102,
,Team Totals,,,18,18,4320,0.449,0.517,0.343,0.516,0.798,0.554,0.241,0.394,96,98,94.0,96,103.0,97,98,100,
