Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Cooper Flagg,19.0,SF,26,26,884,15.7,0.557,0.232,0.297,3.8,15.9,9.9,16.5,1.8,1.8,11.5,23.1,0.3,1.2,1.5,0.083,-0.8,0.7,-0.2,0.4,
2.0,Max Christie,22.0,SG,27,21,784,11.7,0.653,0.64,0.196,0.7,11.6,6.2,9.6,0.8,1.4,10.9,14.7,0.8,0.7,1.6,0.096,-0.3,0.1,-0.2,0.4,
3.0,Naji Marshall,28.0,SF,27,8,756,15.6,0.639,0.367,0.451,3.4,14.5,9.0,13.2,1.9,0.3,9.7,16.7,1.4,0.9,2.3,0.147,-0.2,1.3,1.1,0.6,
4.0,P.J. Washington,27.0,PF,22,22,702,13.3,0.531,0.348,0.301,4.9,21.3,13.2,10.0,1.6,3.2,14.3,23.5,-0.7,1.1,0.4,0.03,-2.2,0.7,-1.5,0.1,
5.0,Klay Thompson,35.0,SF,25,8,544,10.2,0.515,0.74,0.061,1.4,11.0,6.3,9.2,0.7,1.2,6.9,22.4,-0.3,0.5,0.1,0.012,-0.5,-1.5,-1.9,0.0,
6.0,Brandon Williams,26.0,PG,24,9,523,13.6,0.492,0.304,0.352,2.9,9.1,6.0,28.7,3.0,0.8,14.4,24.7,-0.3,0.7,0.4,0.034,-2.6,0.7,-2.0,0.0,
7.0,D'Angelo Russell,29.0,PG,21,3,426,12.4,0.51,0.49,0.282,2.0,11.6,6.9,33.2,1.0,0.4,16.3,27.3,-0.4,0.4,0.0,0.0,-0.9,-1.5,-2.4,0.0,
8.0,Daniel Gafford,27.0,C,16,13,356,16.7,0.667,0.0,0.518,10.3,19.0,14.6,8.5,2.0,5.2,17.8,14.7,0.5,0.6,1.1,0.155,-2.0,2.4,0.4,0.2,
9.0,Anthony Davis,32.0,PF,11,11,325,24.2,0.565,0.126,0.27,11.6,26.3,19.0,19.2,2.2,4.6,9.3,27.8,0.4,0.6,1.1,0.155,2.9,1.6,4.5,0.5,
10.0,Ryan Nembhard,22.0,PG,14,8,281,14.4,0.622,0.385,0.031,1.5,7.5,4.5,39.5,0.7,0.0,17.7,17.7,0.5,0.2,0.6,0.11,0.5,-1.8,-1.2,0.1,
11.0,Dwight Powell,34.0,C,22,1,256,11.4,0.68,0.0,1.241,8.8,13.6,11.2,9.7,2.0,1.6,16.7,8.9,0.4,0.3,0.8,0.148,-3.8,2.2,-1.6,0.0,
12.0,Jaden Hardy,23.0,SG,21,0,220,9.4,0.562,0.622,0.224,2.0,10.1,6.0,6.9,0.9,0.8,13.6,23.9,-0.2,0.2,0.0,0.003,-2.3,-1.3,-3.6,-0.1,
13.0,Caleb Martin,30.0,SF,22,0,200,4.2,0.333,0.351,0.216,5.9,11.6,8.8,12.0,2.4,1.3,16.5,10.2,-0.2,0.3,0.0,0.007,-7.3,1.9,-5.4,-0.2,
14.0,Moussa Cisse,23.0,C,19,1,194,13.5,0.571,0.0,0.816,15.5,21.2,18.4,2.1,1.2,8.6,21.3,14.3,0.0,0.4,0.4,0.089,-5.0,1.6,-3.5,-0.1,
15.0,Dereck Lively II,21.0,C,7,4,115,15.1,0.67,0.0,0.556,13.1,21.1,17.1,15.2,1.6,8.0,30.9,11.9,0.1,0.2,0.3,0.141,-3.4,3.9,0.5,0.1,
16.0,Miles Kelly,23.0,PG,2,0,11,2.7,0.5,0.5,0.0,9.8,28.8,19.3,0.0,0.0,0.0,33.3,11.5,0.0,0.0,0.0,-0.031,-9.4,0.5,-8.8,0.0,
,Team Totals,,,27,27,6577,,0.563,0.382,0.293,,,,,,,,,2.4,8.3,10.7,0.078,-1.3,0.5,-0.8,2.0,
