Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Cooper Flagg,19.0,SF,26,26,884,0,3,39,56,3,-8.4,-12.6,16,26,34,3,52,3,229,15,20,
2.0,Max Christie,22.0,SG,27,21,784,11,82,8,0,0,-2.8,3.4,16,7,31,3,16,4,128,4,12,
3.0,Naji Marshall,28.0,SF,27,8,756,0,11,69,20,0,-7.3,-7.2,15,7,27,5,44,0,172,9,15,
4.0,P.J. Washington,27.0,PF,22,22,702,0,0,4,86,10,-3.5,1.6,26,18,30,6,46,4,112,15,18,
5.0,Klay Thompson,35.0,SF,25,8,544,5,43,49,3,0,-4.7,-0.8,10,7,16,2,1,1,76,0,4,
6.0,Brandon Williams,26.0,PG,24,9,523,99,1,0,0,0,1.7,9.9,28,12,22,2,39,9,242,6,25,
7.0,D'Angelo Russell,29.0,PG,21,3,426,82,18,0,0,0,-3.4,1.3,32,11,19,2,21,4,216,0,5,
8.0,Daniel Gafford,27.0,C,16,13,356,0,0,0,0,100,-4.4,-0.2,10,6,33,4,21,2,49,9,11,
9.0,Anthony Davis,32.0,PF,11,11,325,0,0,0,9,91,-2.9,1.7,9,9,15,1,19,2,81,4,8,
10.0,Ryan Nembhard,22.0,PG,14,8,281,100,0,0,0,0,-12.3,-10.1,14,6,11,1,1,2,168,1,2,
11.0,Dwight Powell,34.0,C,22,1,256,0,0,0,1,99,3.0,9.1,2,5,31,2,13,3,46,6,3,
12.0,Jaden Hardy,23.0,SG,21,0,220,24,63,12,0,0,4.4,10.4,9,6,12,1,9,1,23,2,4,
13.0,Caleb Martin,30.0,SF,22,0,200,0,53,35,12,0,-13.7,-11.1,3,3,20,1,5,1,52,2,5,
14.0,Moussa Cisse,23.0,C,19,1,194,0,0,0,0,100,-3.8,0.6,1,7,19,3,12,0,7,3,2,
15.0,Dereck Lively II,21.0,C,7,4,115,0,0,0,0,100,5.2,10.4,3,0,12,5,4,0,29,0,2,
16.0,Miles Kelly,23.0,PG,2,0,11,0,100,0,0,0,-17.2,-13.1,0,0,0,1,0,0,0,0,0,
,Team Totals,,,27,27,6577,20,20,20,20,20,-4.3,-1.0,194,130,332,42,303,36,1630,76,136,
