Player,Team,Update,Description
Anthony Davis,Dallas Mavericks,"Wed, Dec 17, 2025",Day To Day (Calf) - The Mavericks listed Davis as Questionable on Thursday's (Dec. 18) game against the Pistons.
Dante Exum,Dallas Mavericks,"Fri, Nov 21, 2025",Out For Season (Knee) - The Mavericks announced on Friday (Nov. 21) that Exum will undergo season-ending knee surgery.
Kyrie Irving,Dallas Mavericks,"Mon, Sep 29, 2025",Out (Knee) - The Mavericks said on Monday (Sept. 29) that Irving is ahead of schedule in his left ACL recovery but there's no timeline on his return yet.
Dereck Lively II,Dallas Mavericks,"Wed, Dec 10, 2025",Out For Season (Foot) - The Mavericks announced on Wednesday (Dec. 10) that Lively II will undergo season-ending foot surgery.
D'Angelo Russell,Dallas Mavericks,"Wed, Dec 17, 2025",Day To Day (Illness) - The Mavericks listed Russell as Questionable on Thursday's (Dec. 18) game against the Pistons.
Brandon Williams,Dallas Mavericks,"Wed, Dec 17, 2025",Day To Day (Achilles) - The Mavericks listed Williams as Questionable on Thursday's (Dec. 18) game against the Pistons.
