Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Théo Maledon,19.0,65,49,1778,226,614,0.368,105,313,0.335,121,301,0.402,0.454,101,135,0.748,25,186,211,227,56,11,141,126,658,0,
2.0,Darius Bazley,20.0,55,55,1714,273,690,0.396,83,286,0.29,190,404,0.47,0.456,125,178,0.702,51,345,396,99,29,25,122,60,754,0,
3.0,Luguentz Dort,21.0,52,52,1543,247,639,0.387,113,329,0.343,134,310,0.432,0.475,122,164,0.744,38,151,189,88,45,19,79,134,729,0,
4.0,Kenrich Williams,26.0,66,13,1426,219,411,0.533,52,117,0.444,167,294,0.568,0.596,36,63,0.571,84,189,273,152,55,17,76,143,526,0,
5.0,Isaiah Roby,22.0,61,34,1425,207,429,0.483,32,109,0.294,175,320,0.547,0.52,87,117,0.744,89,252,341,107,52,37,113,162,533,0,
6.0,Shai Gilgeous-Alexander,22.0,35,35,1180,287,565,0.508,71,170,0.418,216,395,0.547,0.571,185,229,0.808,19,147,166,207,27,23,106,70,830,0,
7.0,Aleksej Pokusevski,19.0,45,28,1090,139,408,0.341,58,207,0.28,81,201,0.403,0.412,31,42,0.738,30,182,212,97,20,42,99,58,367,0,
8.0,Moses Brown,21.0,43,32,920,146,268,0.545,0,0,,146,268,0.545,0.545,78,126,0.619,154,229,383,10,31,47,43,93,370,0,
9.0,Ty Jerome,23.0,33,1,788,128,287,0.446,71,168,0.423,57,119,0.479,0.57,26,34,0.765,10,81,91,120,20,6,47,61,353,0,
10.0,Al Horford,34.0,28,28,782,162,360,0.45,56,152,0.368,106,208,0.51,0.528,18,22,0.818,29,159,188,94,25,26,29,48,398,0,
11.0,Hamidou Diallo,22.0,32,5,761,143,297,0.481,12,41,0.293,131,256,0.512,0.502,83,132,0.629,37,128,165,77,31,12,49,83,381,0,
12.0,Svi Mykhailiuk,23.0,30,9,690,124,283,0.438,48,143,0.336,76,140,0.543,0.523,14,20,0.7,13,76,89,53,24,6,49,30,310,0,
13.0,Mike Muscala,29.0,35,0,645,119,267,0.446,68,184,0.37,51,83,0.614,0.573,33,36,0.917,19,113,132,28,8,11,21,54,339,0,
14.0,Justin Jackson,25.0,33,3,544,86,212,0.406,34,111,0.306,52,101,0.515,0.486,30,35,0.857,14,57,71,51,15,2,31,31,236,0,
15.0,Tony Bradley,23.0,22,0,397,80,122,0.656,0,2,0.0,80,120,0.667,0.656,31,44,0.705,46,89,135,20,9,17,27,33,191,0,
16.0,George Hill,34.0,14,14,369,61,120,0.508,22,57,0.386,39,63,0.619,0.6,21,25,0.84,8,21,29,43,12,2,12,12,165,0,
17.0,Josh Hall,20.0,21,1,336,30,99,0.303,4,37,0.108,26,62,0.419,0.323,22,44,0.5,6,53,59,28,4,1,25,37,86,0,
18.0,Jaylen Hoard,21.0,19,0,320,44,88,0.5,0,11,0.0,44,77,0.571,0.5,28,41,0.683,21,44,65,24,13,5,17,19,116,0,
19.0,Gabriel Deck,25.0,10,0,212,32,67,0.478,2,15,0.133,30,52,0.577,0.493,18,22,0.818,16,24,40,24,8,0,6,9,84,0,
20.0,Darius Miller,30.0,18,0,197,22,48,0.458,17,42,0.405,5,6,0.833,0.635,12,12,1.0,2,22,24,21,13,5,8,13,73,0,
21.0,Charlie Brown Jr.,23.0,9,1,152,13,43,0.302,5,21,0.238,8,22,0.364,0.36,9,10,0.9,3,14,17,9,4,2,6,19,40,0,
22.0,Justin Robinson,23.0,9,0,88,7,21,0.333,4,14,0.286,3,7,0.429,0.429,3,5,0.6,1,6,7,9,3,0,2,10,21,0,
,Team Totals,,72,72,17357,2795,6338,0.441,857,2529,0.339,1938,3809,0.509,0.509,1113,1536,0.725,715,2568,3283,1588,504,316,1108,1305,7560,0,
