Rk,Unnamed: 1,Salary
1,Al Horford,"$27,500,000"
2,Meyers Leonard,"$9,400,000"
3,Darius Miller,"$7,000,000"
4,Justin Jackson,"$5,029,650"
5,T.J. Leaf,"$4,326,825"
6,Shai Gilgeous-Alexander,"$4,141,320"
7,Gabriel Deck,"$3,870,370"
8,Tony Bradley,"$3,542,060"
9,Austin Rivers,"$3,500,000"
10,Aleksej Pokusevski,"$2,964,840"
11,Darius Bazley,"$2,399,160"
12,Ty Jerome,"$2,303,040"
13,Mike Muscala,"$2,283,034"
14,Kenrich Williams,"$2,000,000"
15,Théo Maledon,"$2,000,000"
16,Svi Mykhailiuk,"$1,663,861"
17,Josh Gray,"$1,620,564"
18,Luguentz Dort,"$1,517,981"
19,Isaiah Roby,"$1,517,981"
20,Admiral Schofield,"$1,517,981"
21,Zylan Cheatham,"$1,445,697"
22,Moses Brown,"$1,250,000"
23,Kyle Singler,"$999,200"
24,Patrick Patterson,"$737,067"
25,Frank Jackson,"$250,000"
26,Charlie Brown,"$217,844"
27,Justin Robinson,"$198,040"
28,Josh Hall,$0
29,Jaylen Hoard,$0
