Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Desmond Bane,26.0,4,4,139,20,63,0.317,7,32,0.219,13,31,0.419,0.373,14,15,0.933,5,22,27,13,3,2,15,9,61,0,
2.0,Jaren Jackson Jr.,25.0,4,4,137,22,58,0.379,3,11,0.273,19,47,0.404,0.405,17,20,0.85,9,11,20,6,4,2,11,14,64,0,
3.0,Scotty Pippen Jr.,24.0,4,4,129,22,58,0.379,10,28,0.357,12,30,0.4,0.466,19,19,1.0,4,18,22,14,4,1,14,19,73,0,
4.0,Santi Aldama,24.0,4,1,122,21,44,0.477,10,24,0.417,11,20,0.55,0.591,0,0,,2,22,24,7,0,1,5,7,52,0,
5.0,Zach Edey,22.0,4,4,108,10,15,0.667,0,0,,10,15,0.667,0.667,5,7,0.714,11,20,31,7,0,10,6,12,25,0,
6.0,Ja Morant,25.0,3,3,82,22,53,0.415,4,16,0.25,18,37,0.486,0.453,7,11,0.636,1,5,6,15,2,2,6,3,55,0,
7.0,Luke Kennard,28.0,4,0,80,8,18,0.444,2,9,0.222,6,9,0.667,0.5,0,0,,2,12,14,8,4,1,6,3,18,0,
8.0,John Konchar,28.0,4,0,69,3,9,0.333,1,6,0.167,2,3,0.667,0.389,4,4,1.0,3,10,13,6,2,2,2,8,11,0,
9.0,Vince Williams Jr.,24.0,3,0,38,4,7,0.571,4,7,0.571,0,0,,0.857,2,2,1.0,1,6,7,4,2,1,3,3,14,0,
10.0,Marvin Bagley III,25.0,2,0,28,8,9,0.889,1,1,1.0,7,8,0.875,0.944,0,0,,2,4,6,0,2,1,3,3,17,0,
11.0,Jay Huff,26.0,2,0,18,2,4,0.5,0,1,0.0,2,3,0.667,0.5,4,4,1.0,1,2,3,1,0,3,1,1,8,0,
12.0,Lamar Stevens,27.0,2,0,12,2,9,0.222,0,3,0.0,2,6,0.333,0.222,0,0,,0,4,4,1,0,0,1,1,4,0,
,Team Totals,,4,4,962,144,347,0.415,42,138,0.304,102,209,0.488,0.476,72,82,0.878,41,136,177,82,23,26,73,83,402,0,
