Rk,Unnamed: 1,Salary
1,Ja Morant,"$36,725,670"
2,Desmond Bane,"$34,005,250"
3,Jaren Jackson,"$25,257,798"
4,Marvin Bagley,"$12,500,000"
5,Brandon Clarke,"$12,500,000"
6,Luke Kennard,"$9,250,000"
7,John Konchar,"$6,165,000"
8,Zach Edey,"$5,756,880"
9,Johnny Davis,"$5,291,160"
10,Santi Aldama,"$3,960,531"
11,Vince Williams,"$2,120,693"
12,Jay Huff,"$2,088,033"
13,Scotty Pippen,"$2,087,519"
14,Kennedy Chandler,"$2,019,699"
15,Gregory Jackson,"$1,891,857"
16,Jaylen Wells,"$1,157,153"
17,Mamadi Diakite,"$464,050"
18,Lamar Stevens,"$383,912"
19,Lamar Stevens,"$119,972"
20,Lamar Stevens,"$119,972"
21,Yuki Kawamura,
22,Jay Huff,
23,Cam Spencer,
24,Colin Castleton,
25,Zyon Pullin,
