Rk,Unnamed: 1,Salary
1,Brandon Ingram,"$36,016,200"
2,Immanuel Quickley,"$32,500,000"
3,RJ Barrett,"$25,794,643"
4,Jakob Poeltl,"$19,500,000"
5,P.J. Tucker,"$11,539,000"
6,Chris Boucher,"$10,810,000"
7,Scottie Barnes,"$10,130,980"
8,Gradey Dick,"$4,763,760"
9,Ochai Agbaji,"$4,310,280"
10,Ja'Kobe Walter,"$3,465,000"
11,James Wiseman,"$2,237,691"
12,Garrett Temple,"$2,087,519"
13,Jamal Shead,"$1,862,265"
14,Jonathan Mogbo,"$1,862,265"
15,Bruno Fernando,"$1,115,128"
16,Jamison Battle,"$1,000,000"
17,Orlando Robinson,"$491,887"
18,Cole Swider,"$119,972"
19,Eugene Omoruyi,"$119,972"
20,Orlando Robinson,"$119,972"
21,Orlando Robinson,"$119,972"
22,Jared Rhoden,"$119,972"
23,Cole Swider,"$107,975"
24,Colin Castleton,"$107,027"
25,Colin Castleton,"$107,027"
26,A.J. Lawson,"$100,000"
27,Colin Castleton,"$100,000"
28,Javon Freeman-Liberty,"$100,000"
29,Jared Rhoden,
30,Orlando Robinson,
31,A.J. Lawson,
32,D.J. Carton,
33,Jamison Battle,
34,Ulrich Chomche,
35,Branden Carlson,
