Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Jarrett Allen,25.0,77,77,2442,519,819,0.634,0,6,0.0,519,813,0.638,0.634,233,314,0.742,243,568,811,210,53,81,121,147,1271,0,DPOY-10
2.0,Max Strus,27.0,70,70,2239,304,728,0.418,168,479,0.351,136,249,0.546,0.533,77,97,0.794,66,272,338,283,64,29,112,170,853,1,
3.0,Caris LeVert,29.0,68,10,1958,345,820,0.421,108,332,0.325,237,488,0.486,0.487,154,201,0.766,39,241,280,346,76,34,117,121,952,0,
4.0,Donovan Mitchell,27.0,55,55,1942,503,1089,0.462,182,494,0.368,321,595,0.539,0.545,275,318,0.865,46,234,280,333,101,30,154,118,1463,0,AS
5.0,Darius Garland,24.0,57,57,1901,375,841,0.446,132,356,0.371,243,485,0.501,0.524,146,175,0.834,30,122,152,373,74,7,176,95,1028,0,
6.0,Isaac Okoro,23.0,69,42,1887,235,480,0.49,84,215,0.391,151,265,0.57,0.577,93,137,0.679,67,139,206,132,57,34,54,140,647,0,
7.0,Georges Niang,30.0,82,10,1831,284,632,0.449,149,396,0.376,135,236,0.572,0.567,51,60,0.85,22,256,278,98,30,18,72,192,768,0,
8.0,Evan Mobley,22.0,50,50,1532,320,552,0.58,22,59,0.373,298,493,0.604,0.6,123,171,0.719,111,357,468,160,45,72,90,134,785,0,
9.0,Dean Wade,27.0,54,32,1108,96,232,0.414,79,202,0.391,17,30,0.567,0.584,20,26,0.769,37,181,218,43,40,25,20,93,291,0,
10.0,Sam Merrill,27.0,61,1,1069,158,393,0.402,143,354,0.404,15,39,0.385,0.584,26,28,0.929,22,98,120,108,19,4,19,72,485,0,
11.0,Craig Porter Jr.,23.0,51,6,649,116,228,0.509,12,34,0.353,104,194,0.536,0.535,41,56,0.732,21,88,109,118,21,15,45,40,285,0,
12.0,Tristan Thompson,32.0,49,0,549,73,120,0.608,0,1,0.0,73,119,0.613,0.608,15,52,0.288,73,101,174,51,12,14,29,59,161,0,
13.0,Damian Jones,28.0,39,0,270,43,72,0.597,3,14,0.214,40,58,0.69,0.618,18,21,0.857,20,42,62,15,7,13,13,27,107,0,
14.0,Marcus Morris,34.0,12,0,180,26,59,0.441,12,29,0.414,14,30,0.467,0.542,5,8,0.625,5,20,25,10,2,2,11,13,69,0,
15.0,Emoni Bates,20.0,15,0,133,15,49,0.306,10,33,0.303,5,16,0.313,0.408,1,4,0.25,1,13,14,10,1,2,8,5,41,0,
16.0,Isaiah Mobley,24.0,10,0,72,10,24,0.417,3,10,0.3,7,14,0.5,0.479,0,1,0.0,3,7,10,6,2,0,2,6,23,0,
17.0,Pete Nance,23.0,8,0,27,1,6,0.167,1,1,1.0,0,5,0.0,0.25,0,2,0.0,0,3,3,0,1,0,1,2,3,0,
18.0,Ty Jerome,26.0,2,0,15,2,4,0.5,0,1,0.0,2,3,0.667,0.5,0,0,,1,0,1,3,0,0,1,2,4,0,
,Team Totals,,82,82,19804,3425,7148,0.479,1108,3016,0.367,2317,4132,0.561,0.557,1278,1671,0.765,807,2742,3549,2299,605,380,1045,1436,9236,1,
