Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Tyrese Maxey,25.0,PG,23,23,917,99,1,0,0,0,2.3,7.6,34,22,21,3,64,5,405,16,28,
2.0,Quentin Grimes,25.0,SG,24,6,802,1,46,53,0,0,1.6,3.7,27,25,24,3,41,8,260,9,12,
3.0,VJ Edgecombe,20.0,SG,22,22,770,29,71,0,0,0,3.9,9.5,19,15,44,1,25,1,212,5,14,
4.0,Andre Drummond,32.0,C,24,11,514,0,0,0,0,100,1.9,2.7,9,2,35,4,11,0,49,3,6,
5.0,Dominick Barlow,22.0,PF,16,13,430,0,0,0,82,18,-0.7,-1.6,9,3,22,2,16,0,76,5,5,
6.0,Kelly Oubre Jr.,30.0,SF,12,12,418,0,0,60,41,0,0.5,0.2,6,6,12,3,19,9,38,6,9,
7.0,Justin Edwards,22.0,SF,22,5,372,0,3,84,13,0,-10.6,-15.8,3,8,15,1,4,1,85,1,7,
8.0,Jabari Walker,23.0,PF,24,5,332,0,0,16,83,1,-1.1,-2.1,1,6,22,2,15,2,35,1,9,
9.0,Joel Embiid,31.0,C,11,11,288,0,0,0,0,100,1.2,1.1,12,9,10,5,37,0,81,6,10,
10.0,Trendon Watford,25.0,PF,14,4,286,0,0,1,89,9,1.4,1.4,10,5,23,4,15,3,122,6,9,
11.0,Jared McCain,21.0,SG,16,0,284,11,83,6,0,0,-1.3,-2.1,4,6,10,3,3,0,70,0,9,
12.0,Adem Bona,22.0,C,17,3,273,0,0,0,0,100,1.6,1.6,3,4,15,3,6,3,6,0,4,
13.0,Paul George,35.0,PF,10,10,262,0,0,56,44,0,4.4,5.1,11,2,7,2,13,3,80,2,3,
14.0,Eric Gordon,37.0,SG,5,0,57,4,70,26,0,0,-16.9,-18.1,1,0,1,1,0,0,6,0,1,
15.0,Johni Broome,23.0,C,6,0,39,0,0,0,0,100,-29.4,-30.7,1,1,4,0,2,0,8,0,3,
16.0,Kyle Lowry,39.0,PG,4,0,32,100,0,0,0,0,8.2,8.1,0,0,1,0,0,0,13,0,0,
17.0,Hunter Sallis,22.0,SG,6,0,25,61,37,2,0,0,-31.9,-32.9,3,2,2,0,1,0,12,0,0,
,Team Totals,,,25,25,6101,20,20,20,20,20,0.4,1.7,153,116,268,37,272,35,1558,60,129,
