Player,Team,Update,Description
Tyrese Maxey,Philadelphia 76ers,"Sun, Dec 14, 2025",Day To Day (Illness) - Maxey did not play in Sunday's (Dec. 14) game against the Hawks.
Kelly Oubre Jr.,Philadelphia 76ers,"Wed, Nov 19, 2025","Out (Knee) - Oubre will miss at least two weeks, Tony Jones of The Athletic reports."
Hunter Sallis,Philadelphia 76ers,"Sun, Dec 14, 2025",Day To Day (Shoulder) - Sallis did not play in Sunday's (Dec. 14) game against the Hawks.
Trendon Watford,Philadelphia 76ers,"Wed, Nov 26, 2025","Out (Thigh) - Watford will be re-evaluated in two weeks, according to Noah Levick of NBC Sports Philadelphia reports."
