Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Jimmy Butler,33.0,PF,22,22,874,0,0,30,70,1,-1.3,-14.3,23,11,17,6,88,3,331,22,35,
2.0,Bam Adebayo,25.0,C,23,23,850,0,0,0,0,100,2.6,4.0,18,21,28,12,44,6,213,13,22,
3.0,Caleb Martin,27.0,SF,23,4,694,3,75,22,0,0,7.1,14.3,14,4,26,4,17,7,93,5,13,
4.0,Gabe Vincent,26.0,PG,22,22,672,70,30,0,0,0,2.8,3.0,17,6,34,3,14,12,187,4,10,
5.0,Max Strus,26.0,SF,23,23,648,0,46,51,4,0,-2.0,-9.1,2,1,24,2,6,8,77,1,10,
6.0,Kyle Lowry,36.0,PG,23,1,599,100,0,0,0,0,1.5,-0.4,25,8,27,2,10,3,234,2,7,
7.0,Duncan Robinson,28.0,SF,23,1,418,1,9,71,19,0,5.5,6.2,9,5,12,2,3,2,91,1,3,
8.0,Kevin Love,34.0,PF,20,18,359,0,0,0,81,19,-2.4,-6.0,4,3,22,3,5,5,53,2,1,
9.0,Cody Zeller,30.0,C,21,0,174,0,0,0,3,97,1.1,-0.6,2,5,17,5,5,3,16,1,4,
10.0,Haywood Highsmith,26.0,PF,18,0,161,0,3,41,56,0,-2.9,-5.4,0,2,17,0,2,0,13,1,2,
11.0,Victor Oladipo,30.0,SG,2,0,45,26,72,1,0,0,8.9,7.5,2,0,5,0,3,0,6,1,0,
12.0,Tyler Herro,23.0,SG,1,1,19,12,79,9,0,0,32.6,31.5,1,0,1,0,0,0,5,0,0,
13.0,Omer Yurtseven,24.0,C,8,0,16,0,0,0,0,100,-13.9,-15.8,0,1,1,0,0,0,2,0,0,
14.0,Nikola Jović,19.0,PF,7,0,13,0,0,19,81,0,11.6,10.0,0,0,0,0,0,0,0,0,1,
15.0,Udonis Haslem,42.0,C,2,0,3,0,0,84,16,0,-111.4,-113.4,0,0,0,0,0,0,0,0,0,
,Team Totals,,,23,23,5545,20,20,20,20,20,1.7,-0.6,117,67,231,39,197,49,1321,53,108,
