Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82.0,19830,3438,7436,0.462,1036,2983,0.347,2402,4453,0.539,1280,1637,0.782,849,2778,3627,2449,584,520,1242,1414,9192
Team/G,,241.8,41.9,90.7,0.462,12.6,36.4,0.347,29.3,54.3,0.539,15.6,20.0,0.782,10.4,33.9,44.2,29.9,7.1,6.3,15.1,17.2,112.1
Lg Rank,,7,18,7,25.0,16,11,28.0,15,14,19.0,25,28,14.0,18,8,8,2,22,3,27,3,23
Year/Year,,-0.1%,-2.7%,-2.1%,-0.003,13.7%,13.0%,0.002,-8.4%,-10.1%,0.01,-0.9%,-5.9%,0.039,-12.0%,6.1%,1.2%,9.7%,2.1%,61.5%,-0.9%,-13.3%,-0.8%
Opponent,82.0,19830,3684,7570,0.487,1040,2791,0.373,2644,4779,0.553,1316,1679,0.784,860,2857,3717,2296,733,380,1098,1470,9724
Opponent/G,,241.8,44.9,92.3,0.487,12.7,34.0,0.373,32.2,58.3,0.553,16.0,20.5,0.784,10.5,34.8,45.3,28.0,8.9,4.6,13.4,17.9,118.6
Lg Rank,,7,29,28,23.0,13,11,23.0,28,28,21.0,6,6,16.0,12,28,27,24,30,8,20,25,24
Year/Year,,-0.1%,-2.5%,1.5%,-0.02,0.4%,5.3%,-0.018,-3.6%,-0.6%,-0.017,-12.0%,-13.5%,0.013,-1.9%,1.6%,0.8%,4.5%,10.2%,-11.8%,-3.3%,-3.0%,-3.6%
