Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Luka Dončić,25,PG,5,5,208,8.1,18.0,0.452,2.8,8.0,0.348,5.4,10.0,0.534,0.529,7.1,8.0,0.891,0.3,5.7,6.1,5.0,0.9,0.5,3.5,2.8,26.1,
2,LeBron James,40,SF,5,5,204,7.6,15.5,0.489,1.8,4.9,0.357,5.8,10.6,0.55,0.545,5.5,7.1,0.775,2.1,5.8,7.9,4.9,1.8,1.6,2.3,1.4,22.4,
3,Austin Reaves,26,SG,5,5,196,5.5,13.4,0.411,2.8,8.6,0.319,2.8,4.8,0.577,0.514,1.1,1.3,0.857,0.7,4.2,5.0,3.3,0.2,0.6,2.6,3.3,14.9,
4,Rui Hachimura,26,PF,5,5,182,5.5,11.3,0.491,3.0,6.1,0.484,2.6,5.1,0.5,0.623,0.6,0.6,1.0,0.8,3.8,4.5,1.0,0.6,0.6,1.4,2.4,14.6,
5,Dorian Finney-Smith,31,PF,5,1,170,2.5,6.1,0.414,1.5,4.0,0.368,1.1,2.1,0.5,0.534,0.0,0.0,,2.1,2.3,4.4,2.8,0.2,0.4,1.1,3.6,6.6,
6,Gabe Vincent,28,PG,5,0,99,1.8,5.1,0.357,1.5,4.7,0.308,0.4,0.4,1.0,0.5,0.0,0.0,,0.0,1.8,1.8,1.8,0.4,0.7,0.4,2.9,5.1,
7,Jarred Vanderbilt,25,PF,5,0,60,1.2,3.6,0.333,0.0,0.6,0.0,1.2,3.0,0.4,0.333,1.8,2.4,0.75,2.4,9.0,11.4,3.0,1.8,0.6,1.8,5.4,4.2,
8,Jordan Goodwin,26,PG,4,0,31,1.2,5.8,0.2,0.0,2.3,0.0,1.2,3.5,0.333,0.2,1.2,2.3,0.5,2.3,3.5,5.8,2.3,1.2,1.2,1.2,8.1,3.5,
9,Jaxson Hayes,24,C,4,4,31,3.5,9.3,0.375,0.0,0.0,,3.5,9.3,0.375,0.375,1.2,2.3,0.5,5.8,3.5,9.3,1.2,0.0,1.2,1.2,9.3,8.1,
10,Maxi Kleber,33,PF,1,0,5,0.0,7.2,0.0,0.0,7.2,0.0,0.0,0.0,,0.0,14.4,14.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,14.4,
11,Bronny James,20,SG,2,0,4,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,Dalton Knecht,23,SF,2,0,4,18.0,45.0,0.4,9.0,36.0,0.25,9.0,9.0,1.0,0.5,0.0,0.0,,18.0,9.0,27.0,0.0,0.0,0.0,0.0,0.0,45.0,
13,Alex Len,31,C,2,0,4,0.0,9.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,,27.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,Shake Milton,28,SG,2,0,4,0.0,9.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,
