team,player,image_url,file_path
UtahJazz,Kyle Anderson,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2993874.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\kyle_anderson.png
UtahJazz,Ace Bailey,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4873138.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\ace_bailey.png
UtahJazz,Walter Clayton Jr.,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4896372.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\walter_clayton_jr.png
UtahJazz,Isaiah Collier,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683766.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\isaiah_collier.png
UtahJazz,Kyle Filipowski,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4684793.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\kyle_filipowski.png
UtahJazz,Keyonte George,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433627.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\keyonte_george.png
UtahJazz,Elijah Harkless,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397449.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\elijah_harkless.png
UtahJazz,Taylor Hendricks,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4684806.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\taylor_hendricks.png
UtahJazz,Walker Kessler,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433136.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\walker_kessler.png
UtahJazz,Kevin Love,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3449.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\kevin_love.png
UtahJazz,Lauri Markkanen,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066336.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\lauri_markkanen.png
UtahJazz,Svi Mykhailiuk,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3133602.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\svi_mykhailiuk.png
UtahJazz,Georges Niang,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2990969.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\georges_niang.png
UtahJazz,Jusuf Nurkic,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3102530.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\jusuf_nurkic.png
UtahJazz,Brice Sensabaugh,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5105839.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\brice_sensabaugh.png
UtahJazz,John Tonje,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4593043.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\john_tonje.png
UtahJazz,Oscar Tshiebwe,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432827.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\oscar_tshiebwe.png
UtahJazz,Cody Williams,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4895758.png&h=80&w=110&scale=crop,nba_rosters\utahjazz\cody_williams.png
