Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Dennis Schröder,27,61,61,1956,8.3,18.9,0.437,1.8,5.3,0.335,6.5,13.6,0.476,0.484,5.1,6.0,0.848,0.7,4.5,5.2,8.7,1.7,0.3,4.1,4.0,23.4,107,109,
2,Kyle Kuzma,25,68,32,1954,8.3,18.8,0.443,3.4,9.5,0.361,4.9,9.4,0.525,0.533,1.7,2.4,0.691,2.7,7.7,10.4,3.2,0.9,1.0,2.8,3.0,21.8,105,109,
3,Kentavious Caldwell-Pope,27,67,67,1902,5.6,12.9,0.431,3.1,7.5,0.41,2.5,5.4,0.46,0.549,2.5,2.9,0.866,0.7,3.9,4.6,3.2,1.6,0.7,1.7,2.9,16.7,114,109,DPOY-11
4,Montrezl Harrell,27,69,1,1580,11.5,18.6,0.622,0.0,0.3,0.0,11.5,18.3,0.632,0.622,5.6,7.9,0.707,4.9,8.3,13.2,2.2,1.4,1.5,2.3,3.9,28.7,127,106,6MOY-6
5,LeBron James,36,45,45,1504,13.7,26.6,0.513,3.4,9.2,0.365,10.3,17.4,0.591,0.576,5.8,8.2,0.698,0.9,10.3,11.2,11.3,1.6,0.8,5.4,2.3,36.4,114,106,"MVP-13,AS,NBA2"
6,Talen Horton-Tucker,20,65,4,1304,8.4,18.2,0.458,1.4,4.9,0.282,7.0,13.4,0.522,0.496,3.7,4.8,0.775,0.9,5.4,6.3,6.8,2.4,0.8,3.9,4.7,21.8,103,107,
7,Alex Caruso,26,58,6,1216,5.3,12.2,0.436,2.2,5.5,0.401,3.1,6.7,0.464,0.526,2.0,3.0,0.645,1.2,5.6,6.8,6.4,2.6,0.6,3.0,4.3,14.8,106,106,
8,Markieff Morris,31,61,27,1200,6.2,15.3,0.405,2.6,8.5,0.311,3.6,6.9,0.521,0.491,1.5,2.0,0.72,1.9,8.8,10.8,3.0,0.9,0.8,2.2,4.3,16.5,101,108,
9,Anthony Davis,27,36,36,1162,12.6,25.7,0.491,1.1,4.2,0.26,11.5,21.5,0.536,0.512,6.6,9.0,0.738,2.6,9.4,12.0,4.6,1.9,2.5,3.1,2.5,32.9,110,104,AS
10,Wesley Matthews,34,58,10,1130,3.8,10.8,0.353,2.8,8.5,0.335,1.0,2.4,0.418,0.484,1.5,1.8,0.854,0.9,3.1,4.0,2.3,1.6,0.7,1.1,3.4,12.0,106,110,
11,Marc Gasol,36,52,42,993,4.3,9.5,0.454,2.4,6.0,0.41,1.9,3.5,0.528,0.582,1.8,2.4,0.72,1.9,8.7,10.5,5.3,1.3,2.8,2.6,5.6,12.8,115,105,
12,Andre Drummond,27,21,21,520,9.5,18.0,0.531,0.0,0.0,,9.5,18.0,0.531,0.531,4.3,7.1,0.605,6.1,13.9,20.0,2.8,2.2,1.9,4.0,7.5,23.4,107,101,
13,Ben McLemore,27,21,1,368,7.3,18.6,0.39,5.6,15.1,0.368,1.7,3.6,0.481,0.539,2.1,2.8,0.762,0.5,4.0,4.5,1.5,0.4,0.8,1.9,4.9,22.2,105,112,
14,Alfonzo McKinnie,28,39,0,258,9.1,17.5,0.516,3.0,7.4,0.41,6.0,10.2,0.593,0.602,1.9,3.4,0.556,4.1,6.0,10.2,1.1,1.3,0.0,0.9,4.9,23.0,123,110,
15,Damian Jones,25,8,6,112,6.9,7.4,0.941,0.0,0.0,,6.9,7.4,0.941,0.941,4.8,5.2,0.917,3.5,7.8,11.3,0.4,0.4,3.0,2.2,9.6,18.7,158,106,
16,Devontae Cacok,24,20,1,98,8.4,14.4,0.586,0.0,0.0,,8.4,14.4,0.586,0.586,2.5,5.5,0.455,6.0,9.9,15.9,0.5,2.5,2.0,2.5,4.0,19.4,111,102,
17,Jared Dudley,35,12,0,81,1.2,5.4,0.222,1.2,3.6,0.333,0.0,1.8,0.0,0.333,0.0,0.0,,2.4,10.2,12.6,3.0,0.6,0.6,1.2,4.2,3.6,94,108,
18,Quinn Cook,27,16,0,62,9.4,20.4,0.462,3.9,10.2,0.385,5.5,10.2,0.538,0.558,3.1,3.9,0.8,0.0,3.9,3.9,3.9,0.8,0.8,2.4,1.6,25.9,111,111,
19,Kostas Antetokounmpo,23,15,0,56,2.6,8.7,0.3,0.0,0.0,,2.6,8.7,0.3,0.3,5.2,11.3,0.462,3.5,13.0,16.5,0.9,1.7,3.5,9.6,6.9,10.4,56,100,
