Rk,Unnamed: 1,Salary
1,LeBron James,"$39,219,566"
2,Anthony Davis,"$32,742,000"
3,Dennis Schröder,"$16,000,000"
4,Kentavious Caldwell-Pope,"$12,073,020"
5,Montrezl Harrell,"$9,258,000"
6,Luol Deng,"$5,000,000"
7,Wesley Matthews,"$3,623,000"
8,Kyle Kuzma,"$3,562,178"
9,Alex Caruso,"$2,750,000"
10,Marc Gasol,"$2,564,753"
11,Quinn Cook,"$1,797,183"
12,Alfonzo McKinnie,"$1,762,796"
13,Jared Dudley,"$1,620,564"
14,Markieff Morris,"$1,620,564"
15,Talen Horton-Tucker,"$1,517,981"
16,Jordan Bell,"$580,062"
17,Andre Drummond,"$554,988"
18,Ben McLemore,"$455,090"
19,Damian Jones,"$221,996"
20,Kostas Antetokounmpo,$0
21,Devontae Cacok,$0
