Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Dennis Schröder,27,SG,61,61,1956,6.1,14.0,0.437,1.3,3.9,0.335,4.8,10.1,0.476,0.484,3.8,4.5,0.848,0.6,3.3,3.9,6.5,1.3,0.2,3.0,2.9,17.3,
2,Kyle Kuzma,25,SF,68,32,1954,6.2,13.9,0.443,2.5,7.0,0.361,3.6,6.9,0.525,0.533,1.2,1.8,0.691,2.0,5.7,7.7,2.3,0.6,0.8,2.1,2.2,16.1,
3,Kentavious Caldwell-Pope,27,SG,67,67,1902,4.1,9.6,0.431,2.3,5.5,0.41,1.9,4.0,0.46,0.549,1.8,2.1,0.866,0.5,2.9,3.4,2.4,1.2,0.5,1.2,2.2,12.4,DPOY-11
4,Montrezl Harrell,27,C,69,1,1580,8.5,13.7,0.622,0.0,0.2,0.0,8.5,13.5,0.632,0.622,4.1,5.8,0.707,3.6,6.2,9.8,1.7,1.0,1.1,1.7,2.9,21.2,6MOY-6
5,LeBron James,36,PG,45,45,1504,10.1,19.7,0.513,2.5,6.8,0.365,7.6,12.9,0.591,0.576,4.3,6.1,0.698,0.7,7.6,8.3,8.4,1.1,0.6,4.0,1.7,27.0,"MVP-13,AS,NBA2"
6,Talen Horton-Tucker,20,SG,65,4,1304,6.2,13.5,0.458,1.0,3.6,0.282,5.2,9.9,0.522,0.496,2.8,3.6,0.775,0.7,4.0,4.7,5.0,1.7,0.6,2.9,3.5,16.2,
7,Alex Caruso,26,PG,58,6,1216,3.9,9.0,0.436,1.6,4.1,0.401,2.3,5.0,0.464,0.526,1.5,2.3,0.645,0.9,4.1,5.0,4.7,1.9,0.4,2.3,3.2,11.0,
8,Markieff Morris,31,PF,61,27,1200,4.6,11.3,0.405,1.9,6.3,0.311,2.6,5.1,0.521,0.491,1.1,1.5,0.72,1.4,6.5,8.0,2.2,0.7,0.6,1.6,3.2,12.2,
9,Anthony Davis,27,PF,36,36,1162,9.3,19.0,0.491,0.8,3.1,0.26,8.5,15.9,0.536,0.512,4.9,6.6,0.738,1.9,6.9,8.9,3.4,1.4,1.8,2.3,1.9,24.4,AS
10,Wesley Matthews,34,SG,58,10,1130,2.8,8.0,0.353,2.1,6.3,0.335,0.7,1.8,0.418,0.484,1.1,1.3,0.854,0.6,2.3,3.0,1.7,1.2,0.5,0.8,2.5,8.9,
11,Marc Gasol,36,C,52,42,993,3.2,7.0,0.454,1.8,4.4,0.41,1.4,2.6,0.528,0.582,1.3,1.8,0.72,1.4,6.4,7.8,4.0,0.9,2.1,1.9,4.2,9.5,
12,Andre Drummond,27,C,21,21,520,7.1,13.3,0.531,0.0,0.0,,7.1,13.3,0.531,0.531,3.2,5.3,0.605,4.5,10.3,14.8,2.1,1.6,1.4,3.0,5.5,17.3,
13,Ben McLemore,27,SG,21,1,368,5.4,13.8,0.39,4.1,11.2,0.368,1.3,2.6,0.481,0.539,1.6,2.1,0.762,0.4,2.9,3.3,1.1,0.3,0.6,1.4,3.6,16.4,
14,Alfonzo McKinnie,28,SF,39,0,258,6.7,13.0,0.516,2.2,5.4,0.41,4.5,7.5,0.593,0.602,1.4,2.5,0.556,3.1,4.5,7.5,0.8,1.0,0.0,0.7,3.6,17.0,
15,Damian Jones,25,C,8,6,112,5.1,5.5,0.941,0.0,0.0,,5.1,5.5,0.941,0.941,3.5,3.9,0.917,2.6,5.8,8.4,0.3,0.3,2.3,1.6,7.1,13.8,
16,Devontae Cacok,24,PF,20,1,98,6.2,10.7,0.586,0.0,0.0,,6.2,10.7,0.586,0.586,1.8,4.0,0.455,4.4,7.3,11.8,0.4,1.8,1.5,1.8,2.9,14.3,
17,Jared Dudley,35,PF,12,0,81,0.9,4.0,0.222,0.9,2.7,0.333,0.0,1.3,0.0,0.333,0.0,0.0,,1.8,7.6,9.3,2.2,0.4,0.4,0.9,3.1,2.7,
18,Quinn Cook,27,PG,16,0,62,7.0,15.1,0.462,2.9,7.5,0.385,4.1,7.5,0.538,0.558,2.3,2.9,0.8,0.0,2.9,2.9,2.9,0.6,0.6,1.7,1.2,19.2,
19,Kostas Antetokounmpo,23,PF,15,0,56,1.9,6.4,0.3,0.0,0.0,,1.9,6.4,0.3,0.3,3.9,8.4,0.462,2.6,9.6,12.2,0.6,1.3,2.6,7.1,5.1,7.7,
