Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Tony Bradley,24.0,C,2,0,8,1.0,1.0,,1.0,,1.0,0.0,0.0,217,188,,188,,177,0,0,
2.0,Troy Brown Jr.,22.0,SF,3,0,37,0.294,0.5,0.182,0.353,,0.353,0.0,0.647,64,94,51.0,66,,62,0,162,
3.0,Alex Caruso,27.0,SG,4,4,113,0.391,0.4,0.389,0.543,,0.543,0.0,0.783,85,75,110.0,102,,96,0,196,
4.0,DeMar DeRozan,32.0,PF,5,5,203,0.411,0.453,0.0,0.411,0.867,0.481,0.316,0.095,89,85,0.0,77,112.0,85,127,24,
5.0,Ayo Dosunmu,22.0,SG,5,1,86,0.308,0.385,0.231,0.365,1.0,0.378,0.038,0.5,67,72,65.0,69,129.0,67,15,125,
6.0,Javonte Green,28.0,SF,5,1,72,0.176,0.273,0.0,0.176,0.5,0.196,0.118,0.353,38,51,0.0,33,65.0,35,47,88,
7.0,Derrick Jones Jr.,24.0,PF,5,0,59,0.412,0.667,0.273,0.5,0.667,0.519,0.176,0.647,89,125,77.0,94,86.0,92,71,162,
8.0,Zach LaVine,26.0,SG,4,4,153,0.429,0.462,0.375,0.5,0.933,0.553,0.238,0.381,93,87,106.0,94,120.0,98,96,95,
9.0,Tristan Thompson,30.0,C,5,0,38,0.4,0.4,,0.4,,0.4,0.0,0.0,87,75,,75,,71,0,0,
10.0,Nikola Vučević,31.0,C,5,5,181,0.44,0.551,0.31,0.511,0.8,0.52,0.055,0.462,95,103,88.0,96,103.0,92,22,116,
11.0,Coby White,21.0,PG,5,0,98,0.333,0.438,0.276,0.422,0.8,0.445,0.111,0.644,72,82,78.0,79,103.0,79,45,161,
12.0,Patrick Williams,20.0,PF,5,5,153,0.468,0.577,0.333,0.543,0.727,0.569,0.234,0.447,102,108,94.0,102,94.0,101,94,112,
,Team Totals,,,5,5,1201,0.404,0.487,0.283,0.461,0.833,0.493,0.16,0.408,88,91,80.0,87,108.0,87,64,102,
