Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Anthony Edwards,19.0,SG,72,55,2314,0,27,62,10,0,-5.3,0.3,68,55,58,17,138,2,528,34,68,ROY-2
2.0,Ricky Rubio,30.0,PG,68,51,1772,99,1,0,0,0,-5.2,0.5,84,17,37,4,51,19,1031,7,32,
3.0,Karl-Anthony Towns,25.0,C,50,50,1689,0,0,0,0,100,0.3,11.1,71,25,80,50,138,14,548,32,51,
4.0,Jaden McDaniels,20.0,PF,63,27,1511,0,0,22,76,2,-3.3,3.6,24,12,102,5,18,6,178,4,13,
5.0,Naz Reid,21.0,C,70,15,1347,0,0,0,12,88,-10.7,-8.7,22,27,116,12,89,15,177,24,31,
6.0,Malik Beasley,24.0,SG,37,36,1214,1,91,8,0,0,-7.3,-2.9,20,25,30,7,37,3,212,11,29,
7.0,Josh Okogie,22.0,SG,59,37,1197,0,49,46,4,0,-5.9,-0.7,25,8,59,2,48,28,149,10,22,
8.0,D'Angelo Russell,24.0,PG,42,26,1196,51,49,0,0,0,-7.4,-3.0,75,27,27,6,58,10,586,11,18,
9.0,Jarred Vanderbilt,21.0,PF,64,30,1139,0,0,0,75,25,-1.3,6.1,21,19,57,6,49,11,188,12,35,
10.0,Jordan McLaughlin,24.0,PG,51,2,938,100,0,0,0,0,-6.4,-1.4,34,13,23,2,6,13,461,1,24,
11.0,Juancho Hernangómez,25.0,PF,52,6,900,0,0,23,77,0,-4.3,1.5,10,4,20,4,49,1,88,12,19,
12.0,Jaylen Nowell,21.0,SG,42,0,759,23,63,14,0,0,-6.3,-1.1,14,9,42,0,24,5,154,5,16,
13.0,Jake Layman,26.0,SF,45,11,627,0,2,60,38,0,-7.6,-2.7,11,8,22,5,22,5,66,7,16,
14.0,Jarrett Culver,21.0,SG,34,7,499,1,7,75,18,0,-11.0,-6.5,11,8,35,3,21,5,61,2,16,
15.0,Ed Davis,31.0,C,23,7,299,0,0,0,0,100,-7.8,-2.6,1,0,36,6,6,2,53,0,8,
16.0,Ashton Hagans,21.0,PG,2,0,4,0,100,0,0,0,-40.0,-34.6,1,0,0,0,0,0,0,0,0,
,Team Totals,,,72,72,17405,20,20,20,20,20,-5.4,0.4,492,257,744,129,754,139,4480,172,398,
