Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 25_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Kent Bazemore,31.0,SF,67,18,1333,0.449,0.486,0.408,0.545,0.692,0.564,0.199,0.469,96,92,111.0,101,89,99,81,120,5.3,-6.5,
2.0,Jordan Bell,26.0,C,1,0,15,0.0,0.0,,0.0,0.5,0.174,1.0,0.0,0,0,,0,64,30,405,0,-2.2,-2.3,
3.0,Marquese Chriss,23.0,PF,2,0,27,0.357,0.444,0.2,0.393,0.5,0.412,0.286,0.357,77,84,55.0,73,64,72,116,91,-4.1,-5.0,
4.0,Stephen Curry,32.0,PG,63,63,2152,0.482,0.569,0.421,0.605,0.916,0.655,0.289,0.587,103,107,115.0,113,118,115,117,150,184.5,255.3,"MVP-3,AS,NBA1"
5.0,Draymond Green,30.0,PF,63,63,1982,0.447,0.535,0.27,0.492,0.795,0.53,0.232,0.332,96,101,74.0,91,102,93,94,85,-34.8,-34.8,"DPOY-3,DEF1"
6.0,Damion Lee,28.0,SG,57,1,1079,0.467,0.638,0.397,0.608,0.909,0.636,0.161,0.708,100,120,108.0,113,117,111,65,181,38.2,37.5,
7.0,Kevon Looney,24.0,C,61,34,1161,0.548,0.578,0.235,0.558,0.646,0.575,0.244,0.086,118,109,64.0,104,83,101,99,22,8.1,1.6,
8.0,Nico Mannion,19.0,PG,30,1,364,0.342,0.315,0.367,0.439,0.821,0.487,0.246,0.526,73,59,100.0,82,106,85,100,134,-22.6,-21.5,
9.0,Mychal Mulder,26.0,PG,60,6,766,0.449,0.667,0.397,0.609,0.636,0.613,0.083,0.808,96,126,108.0,113,82,107,34,206,37.9,22.9,
10.0,Kelly Oubre Jr.,25.0,SF,55,50,1687,0.439,0.519,0.316,0.501,0.695,0.529,0.244,0.394,94,98,86.0,93,89,93,99,100,-52.9,-68.0,
11.0,Eric Paschall,24.0,PF,40,2,695,0.497,0.533,0.333,0.527,0.713,0.561,0.315,0.181,107,100,91.0,98,92,98,128,46,-6.6,-7.1,
12.0,Gary Payton II,28.0,PG,10,0,40,0.769,0.889,0.5,0.846,0.75,0.847,0.308,0.308,165,168,136.0,157,96,148,125,79,8.0,8.1,
13.0,Jordan Poole,21.0,SG,51,7,988,0.432,0.545,0.351,0.535,0.882,0.581,0.251,0.582,93,103,96.0,99,113,102,102,149,-2.9,10.1,
14.0,Alen Smailagić,20.0,PF,15,1,84,0.407,0.412,0.4,0.481,0.333,0.472,0.222,0.37,87,78,109.0,90,43,83,90,95,-3.0,-5.9,
15.0,Juan Toscano-Anderson,27.0,SG,53,16,1107,0.579,0.718,0.402,0.667,0.71,0.676,0.148,0.44,124,135,110.0,124,91,118,60,112,54.1,46.4,
16.0,Brad Wanamaker,31.0,PG,39,0,625,0.353,0.429,0.213,0.39,0.893,0.468,0.324,0.353,76,81,58.0,73,115,82,131,90,-51.1,-41.0,
17.0,Andrew Wiggins,25.0,PF,71,71,2364,0.477,0.529,0.38,0.543,0.714,0.568,0.225,0.348,102,100,104.0,101,92,99,91,89,11.8,-9.6,
18.0,James Wiseman,19.0,C,39,27,836,0.519,0.542,0.316,0.535,0.628,0.552,0.234,0.103,111,102,86.0,100,81,97,95,26,-1.9,-16.1,
,Team Totals,,,72,72,17305,0.468,0.541,0.376,0.551,0.785,0.583,0.239,0.439,100,102,103.0,102,101,102,97,112,165.8,164.1,
