Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Andrew Wiggins,25,71,71,2364,10.0,21.0,0.477,2.8,7.3,0.38,7.3,13.7,0.529,0.543,3.4,4.7,0.714,1.6,5.3,6.9,3.3,1.3,1.4,2.5,3.2,26.2,107,111,
2,Stephen Curry,32,63,63,2152,14.4,29.8,0.482,7.4,17.5,0.421,7.0,12.3,0.569,0.605,7.9,8.6,0.916,0.6,6.9,7.5,7.9,1.7,0.2,4.6,2.6,44.0,119,111,"MVP-3,AS,NBA1"
3,Draymond Green,30,63,63,1982,4.0,9.0,0.447,0.8,3.0,0.27,3.2,6.0,0.535,0.492,1.7,2.1,0.795,1.3,9.3,10.6,13.2,2.5,1.2,4.5,4.6,10.5,110,106,"DPOY-3,DEF1"
4,Kelly Oubre Jr.,25,55,50,1687,8.9,20.2,0.439,2.5,7.9,0.316,6.3,12.2,0.519,0.501,3.4,4.9,0.695,2.3,6.9,9.2,2.0,1.6,1.2,1.9,3.4,23.6,103,110,
5,Kent Bazemore,31,67,18,1333,6.2,13.8,0.449,2.6,6.5,0.408,3.6,7.3,0.486,0.545,1.9,2.7,0.692,0.9,7.2,8.1,3.8,2.4,1.2,2.9,5.6,16.9,101,108,
6,Kevon Looney,24,61,34,1161,4.4,8.0,0.548,0.2,0.7,0.235,4.2,7.3,0.578,0.558,1.3,1.9,0.646,4.7,8.3,13.0,4.8,0.8,0.9,1.5,5.5,10.2,130,111,
7,Juan Toscano-Anderson,27,53,16,1107,5.1,8.9,0.579,1.6,3.9,0.402,3.6,5.0,0.718,0.667,0.9,1.3,0.71,1.2,8.7,10.0,6.4,1.7,1.1,2.6,4.7,12.8,121,109,
8,Damion Lee,28,57,1,1079,5.6,11.9,0.467,3.4,8.4,0.397,2.2,3.5,0.638,0.608,1.7,1.9,0.909,1.0,6.9,7.8,3.2,1.7,0.3,1.3,3.9,16.2,121,111,
9,Jordan Poole,21,51,7,988,9.7,22.5,0.432,4.6,13.1,0.351,5.1,9.4,0.545,0.535,5.0,5.7,0.882,0.7,3.7,4.4,4.7,1.2,0.4,2.4,4.1,29.1,111,114,
10,James Wiseman,19,39,27,836,10.7,20.7,0.519,0.7,2.1,0.316,10.1,18.5,0.542,0.535,3.0,4.8,0.628,3.1,9.6,12.7,1.5,0.6,2.0,3.4,6.8,25.2,100,109,
11,Mychal Mulder,26,60,6,766,7.3,16.2,0.449,5.2,13.1,0.397,2.1,3.1,0.667,0.609,0.9,1.3,0.636,0.5,3.2,3.7,1.6,0.7,0.7,1.0,3.4,20.7,113,115,
12,Eric Paschall,24,40,2,695,10.0,20.1,0.497,1.2,3.6,0.333,8.8,16.5,0.533,0.527,4.5,6.4,0.713,1.9,6.8,8.7,3.4,0.8,0.5,2.9,4.6,25.7,106,113,
13,Brad Wanamaker,31,39,0,625,4.6,13.0,0.353,1.0,4.6,0.213,3.6,8.4,0.429,0.39,3.8,4.2,0.893,0.6,4.4,5.0,7.4,2.0,0.5,2.8,4.1,13.9,100,112,
14,Nico Mannion,19,30,1,364,5.0,14.7,0.342,2.8,7.7,0.367,2.2,7.0,0.315,0.439,3.0,3.6,0.821,0.8,5.2,5.9,9.0,2.1,0.1,4.0,3.7,15.9,99,111,
15,Alen Smailagić,20,15,1,84,6.2,15.1,0.407,2.2,5.6,0.4,3.9,9.5,0.412,0.481,1.1,3.4,0.333,3.4,5.6,8.9,2.2,1.7,2.8,2.8,6.2,15.7,92,108,
16,Gary Payton II,28,10,0,40,11.7,15.3,0.769,2.3,4.7,0.5,9.4,10.6,0.889,0.846,3.5,4.7,0.75,2.3,10.6,12.9,1.2,7.0,1.2,1.2,9.4,29.4,152,95,
17,Marquese Chriss,23,2,0,27,8.7,24.4,0.357,1.7,8.7,0.2,7.0,15.7,0.444,0.393,3.5,7.0,0.5,5.2,17.4,22.6,3.5,0.0,3.5,3.5,5.2,22.6,88,104,
18,Jordan Bell,26,1,0,15,0.0,6.3,0.0,0.0,0.0,,0.0,6.3,0.0,0.0,3.1,6.3,0.5,3.1,12.5,15.7,6.3,0.0,6.3,3.1,6.3,3.1,70,104,
