Rk,Unnamed: 1,Salary
1,Stephen Curry,"$43,006,362"
2,Klay Thompson,"$35,361,360"
3,Andrew Wiggins,"$29,542,010"
4,Draymond Green,"$22,246,956"
5,Kelly Oubre,"$14,375,000"
6,James Wiseman,"$8,730,240"
7,Kevon Looney,"$4,821,429"
8,Jordan Poole,"$2,063,280"
9,Damion Lee,"$1,762,796"
10,Kent Bazemore,"$1,620,564"
11,Mychal Mulder,"$1,517,981"
12,Eric Paschall,"$1,517,981"
13,Alen Smailagić,"$1,517,981"
14,Shaun Livingston,"$666,667"
15,Juan Toscano-Anderson,"$358,295"
16,Gary Payton,"$233,894"
17,Nico Mannion,$0
18,Jordan Bell,$0
