Player,Team,Update,Description
Chris Boucher,Boston Celtics,"Fri, Dec 12, 2025",Day To Day (Illness) - Boucher did not play on Thursday's (Dec. 11) game against Milwaukee.
Ron Harper Jr.,Boston Celtics,"Fri, Dec 12, 2025",Day To Day (Knee) - Harper Jr. did not play on Thursday's (Dec. 11) game against Milwaukee.
Jayson Tatum,Boston Celtics,"Thu, Oct 9, 2025","Out (Achilles) - The Celtics have not ruled Tatum out for the 2025-26 season, ESPN's Shams Charania reported on the Pat McAfee Show on Thursday (Oct. 9)."
Amari Williams,Boston Celtics,"Fri, Dec 12, 2025",Day To Day (Hand) - Williams did not play on Thursday's (Dec. 11) game against Milwaukee.
