Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jaylen Brown,29,SF,25,25,844,11.5,22.9,0.5,2.2,6.1,0.361,9.3,16.8,0.551,0.548,6.1,7.9,0.769,1.4,5.2,6.6,5.2,1.2,0.5,3.8,3.3,31.3,
2,Payton Pritchard,28,PG,26,26,843,6.8,15.5,0.44,3.0,9.0,0.333,3.8,6.6,0.584,0.536,1.8,2.1,0.86,1.2,3.6,4.7,5.6,0.8,0.1,1.3,1.8,18.5,
3,Derrick White,31,SG,25,25,830,6.6,16.7,0.396,3.4,10.0,0.338,3.3,6.7,0.484,0.497,2.6,3.1,0.845,0.9,3.5,4.4,5.5,1.5,1.3,2.1,2.1,19.3,
4,Anfernee Simons,26,SG,26,0,617,6.9,16.2,0.43,3.5,9.2,0.38,3.4,6.9,0.496,0.538,2.3,2.6,0.886,0.5,2.6,3.2,3.7,0.7,0.2,1.5,3.0,19.7,
5,Neemias Queta,26,C,24,24,593,6.3,9.7,0.65,0.0,0.2,0.0,6.3,9.5,0.662,0.65,1.8,3.0,0.612,4.7,7.3,12.0,2.3,1.0,1.9,1.2,4.4,14.4,
6,Sam Hauser,28,PF,26,4,562,3.8,11.0,0.343,3.3,9.6,0.34,0.5,1.4,0.364,0.491,0.2,0.3,0.75,1.1,4.5,5.6,2.2,1.0,0.5,0.8,2.0,11.0,
7,Josh Minott,23,PF,25,9,475,4.8,9.5,0.504,2.3,5.3,0.443,2.4,4.2,0.582,0.628,1.4,1.8,0.75,2.8,5.5,8.3,2.4,1.5,0.8,1.2,3.3,13.3,
8,Jordan Walsh,21,PF,22,14,469,4.9,8.1,0.604,1.5,3.1,0.488,3.4,5.0,0.677,0.698,1.6,1.9,0.84,2.8,5.6,8.4,1.7,2.1,0.9,1.1,5.0,13.0,
9,Baylor Scheierman,25,SG,22,0,265,3.4,6.5,0.521,2.3,5.2,0.447,1.1,1.4,0.8,0.698,0.1,0.1,1.0,1.1,4.2,5.3,2.2,1.4,0.3,1.1,4.1,9.2,
10,Luka Garza,27,C,19,1,249,5.8,10.1,0.571,1.6,3.6,0.44,4.2,6.5,0.644,0.65,3.5,4.5,0.774,5.5,4.0,9.5,2.2,0.9,1.2,1.2,7.1,16.6,
11,Hugo González,19,SF,21,1,247,4.5,8.7,0.517,1.6,3.4,0.478,2.9,5.4,0.541,0.608,0.4,1.0,0.429,2.0,4.7,6.7,1.6,2.0,0.4,1.7,5.5,11.1,
12,Xavier Tillman Sr.,27,C,11,1,103,4.9,9.8,0.5,1.0,4.5,0.231,3.8,5.2,0.733,0.554,0.0,0.0,,3.5,4.9,8.4,1.7,2.1,0.7,1.4,3.1,10.8,
13,Chris Boucher,33,PF,8,0,91,2.8,8.7,0.318,0.4,4.7,0.083,2.4,4.0,0.6,0.341,1.2,1.6,0.75,0.8,6.3,7.1,1.2,2.0,2.8,0.4,6.3,7.1,
14,Amari Williams,24,PF,6,0,31,1.2,2.3,0.5,0.0,0.0,,1.2,2.3,0.5,0.5,1.2,2.3,0.5,2.3,5.8,8.1,1.2,1.2,2.3,0.0,4.6,3.5,
15,Ron Harper Jr.,25,SF,4,0,20,5.4,18.0,0.3,3.6,14.4,0.25,1.8,3.6,0.5,0.4,0.0,0.0,,1.8,3.6,5.4,7.2,1.8,3.6,0.0,3.6,14.4,
