Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Draft,Draft,Draft,Draft,Unnamed: 7_level_0,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats
Unnamed: 0_level_1,Age,Unnamed: 2_level_1,Yr,Tm,Rd,Pk,Unnamed: 7_level_1,Team,Lg,Unnamed: 10_level_1,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Juhann Begarin,23,,2021,BOS,2,45,,,FRA,fr,10,18.4,2.1,5.6,0.375,0.6,3.3,0.182,0.4,1.0,0.4,0.7,2.1,2.8,0.8,0.7,0.3,0.8,2.4,5.2
Yam Madar,25,,2020,BOS,2,47,,,ELG,il,1,3.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
