Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Jaylen Brown,29.0,SF,25,25,844,0,9,76,16,0,3.8,-5.0,27,35,30,16,94,3,314,24,27,
2.0,Payton Pritchard,28.0,PG,26,26,843,100,0,0,0,0,5.7,1.3,13,10,18,4,16,2,322,3,14,
3.0,Derrick White,31.0,SG,25,25,830,6,86,7,0,0,6.2,2.6,26,17,28,2,31,15,308,12,17,
4.0,Anfernee Simons,26.0,SG,26,0,617,53,47,0,0,0,3.2,-4.3,12,10,28,2,22,0,164,8,13,
5.0,Neemias Queta,26.0,C,24,24,593,0,0,0,0,100,12.9,14.1,4,4,50,9,20,0,92,5,7,
6.0,Sam Hauser,28.0,PF,26,4,562,0,0,11,85,4,2.5,-5.3,6,4,15,2,2,3,88,1,1,
7.0,Josh Minott,23.0,PF,25,9,475,0,0,0,55,45,5.1,-0.4,7,5,20,2,11,4,80,2,10,
8.0,Jordan Walsh,21.0,PF,22,14,469,0,0,33,65,2,10.9,8.8,8,4,33,1,12,3,58,6,8,
9.0,Baylor Scheierman,25.0,SG,22,0,265,8,39,52,0,0,2.4,-3.7,5,1,9,1,0,5,41,0,1,
10.0,Luka Garza,27.0,C,19,1,249,0,0,0,0,100,-8.3,-17.2,1,1,28,3,14,4,37,5,7,
11.0,Hugo González,19.0,SF,21,1,247,2,22,67,9,0,12.7,9.2,3,5,18,1,3,3,31,0,5,
12.0,Xavier Tillman Sr.,27.0,C,11,1,103,0,0,0,8,92,-5.3,-11.6,2,1,8,1,0,1,13,0,2,
13.0,Chris Boucher,33.0,PF,8,0,91,0,0,15,46,40,5.3,-0.1,0,0,13,1,1,1,8,0,1,
14.0,Amari Williams,24.0,PF,6,0,31,0,0,8,0,92,-15.7,-21.6,0,0,3,0,0,0,2,0,1,
15.0,Ron Harper Jr.,25.0,SF,4,0,20,0,28,72,0,0,35.0,30.2,0,0,2,0,0,0,11,0,0,
,Team Totals,,,26,26,6239,20,20,20,20,20,5.4,0.2,114,97,303,45,226,44,1569,66,114,
