Rk,Unnamed: 1,Salary
1,Tobias Harris,"$34,358,850"
2,Ben Simmons,"$30,559,200"
3,Joel Embiid,"$29,542,010"
4,Danny Green,"$15,365,853"
5,George Hill,"$9,590,602"
6,Seth Curry,"$7,834,449"
7,Mike Scott,"$5,005,350"
8,Matisse Thybulle,"$2,711,280"
9,Tyrese Maxey,"$2,478,840"
10,Furkan Korkmaz,"$1,762,796"
11,Shake Milton,"$1,701,593"
12,Dwight Howard,"$1,620,564"
13,Ignas Brazdeikis,"$1,517,981"
14,Isaiah Joe,"$898,310"
15,Paul Reed,"$609,128"
16,Anthony Tolliver,"$485,498"
17,Justin Anderson,"$125,000"
18,Rayjon Tucker,$0
19,Mason Jones,$0
20,Gary Clark,$0
