Rk,Unnamed: 1,Salary
1,Zach LaVine,"$44,531,940"
2,Domantas Sabonis,"$40,500,000"
3,DeMar DeRozan,"$23,400,000"
4,Malik Monk,"$17,405,203"
5,Jonas Valančiūnas,"$9,900,000"
6,Keegan Murray,"$8,809,560"
7,Trey Lyles,"$8,000,000"
8,Devin Carter,"$4,689,000"
9,Jake LaRavia,"$3,352,680"
10,Keon Ellis,"$2,120,693"
11,Doug McDermott,"$2,087,519"
12,Jae Crowder,"$1,655,619"
13,Orlando Robinson,"$959,779"
14,Markelle Fultz,"$731,831"
15,Isaac Jones,"$152,957"
16,Daishen Nix,"$119,972"
17,Skal Labissière,"$119,972"
18,Terry Taylor,"$119,972"
19,Terence Davis,"$64,301"
20,Isiah Crawford,
21,Isaac Jones,
22,Mason Jones,
