Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Ja Morant,21.0,PG,5,5,203,96,5,0,0,0,-12.3,-17.5,10,4,3,0,11,0,99,1,9,
2.0,Dillon Brooks,25.0,SF,5,5,175,0,36,30,34,0,-2.0,27.1,5,2,7,2,14,1,26,5,5,
3.0,Jonas Valančiūnas,28.0,C,5,5,166,0,0,0,0,100,-9.6,0.2,1,4,12,4,4,0,34,0,3,
4.0,Kyle Anderson,27.0,PF,5,5,142,0,0,48,49,3,-8.9,1.9,2,0,4,1,1,0,35,0,2,
5.0,Jaren Jackson Jr.,21.0,C,5,5,137,0,0,0,56,44,-15.6,-13.7,1,0,11,3,8,1,11,1,6,
6.0,Grayson Allen,25.0,SG,5,0,116,0,60,40,0,0,-23.9,-27.6,1,0,8,0,0,0,2,0,2,
7.0,Desmond Bane,22.0,SG,5,0,99,0,21,62,17,0,-10.3,-1.1,1,2,3,0,0,0,24,0,0,
8.0,De'Anthony Melton,22.0,PG,5,0,83,0,89,11,0,0,-6.4,5.1,1,1,3,1,2,0,12,1,3,
9.0,Tyus Jones,24.0,PG,5,0,47,100,0,0,0,0,15.5,31.1,0,0,0,0,1,0,16,0,0,
10.0,Xavier Tillman Sr.,22.0,PF,3,0,18,0,0,0,47,53,-35.9,-28.5,0,0,1,1,0,0,3,0,1,
11.0,Brandon Clarke,24.0,PF,2,0,9,0,0,0,100,0,35.9,47.1,0,0,0,0,0,0,0,0,0,
12.0,John Konchar,24.0,SG,1,0,3,0,100,0,0,0,66.7,77.0,0,0,0,0,0,0,0,0,0,
13.0,Justise Winslow,24.0,SF,1,0,3,0,0,100,0,0,66.7,77.0,0,0,0,0,0,0,2,0,0,
,Team Totals,,,5,5,1201,20,20,20,20,20,-9.5,-1.2,22,13,52,12,41,2,264,8,31,
