Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Evan Mobley,21,PF,79,79,2715,7.0,12.6,0.554,0.3,1.4,0.216,6.7,11.2,0.595,0.566,2.7,4.0,0.674,2.5,6.9,9.4,3.0,0.8,1.6,1.9,2.9,16.9,"DPOY-3,DEF1"
2,Darius Garland,23,PG,69,69,2447,7.7,16.6,0.462,2.5,6.1,0.41,5.2,10.5,0.492,0.537,4.1,4.7,0.863,0.4,2.3,2.7,7.9,1.3,0.1,2.9,2.2,21.9,
3,Donovan Mitchell,26,SG,68,68,2432,10.1,20.8,0.484,3.6,9.4,0.386,6.4,11.4,0.566,0.572,4.7,5.4,0.867,0.9,3.3,4.3,4.5,1.5,0.4,2.7,2.5,28.5,"MVP-6,CPOY-6,AS,NBA2"
4,Caris LeVert,28,SG,74,30,2237,5.1,11.9,0.431,2.0,5.2,0.392,3.1,6.7,0.462,0.517,2.1,2.9,0.722,0.9,3.7,4.5,4.6,1.2,0.4,1.9,2.7,14.4,
5,Jarrett Allen,24,C,68,68,2220,6.5,10.2,0.644,0.0,0.2,0.1,6.5,10.0,0.653,0.645,2.6,3.6,0.733,3.6,7.2,10.8,1.8,0.9,1.4,1.5,2.5,15.7,
6,Isaac Okoro,22,SF,76,46,1652,3.8,7.7,0.494,1.4,3.7,0.363,2.5,4.0,0.617,0.582,1.7,2.2,0.757,1.1,2.9,4.1,1.9,1.2,0.7,0.9,3.4,10.7,
7,Cedi Osman,27,SF,77,2,1548,5.6,12.3,0.451,2.7,7.3,0.372,2.9,5.1,0.564,0.56,1.7,2.5,0.694,0.6,3.5,4.1,2.7,0.8,0.3,1.2,2.8,15.6,
8,Lamar Stevens,25,SF,62,25,1120,4.1,9.3,0.448,1.0,3.1,0.316,3.2,6.2,0.513,0.5,1.3,1.8,0.702,1.5,5.1,6.7,1.1,0.9,0.6,0.9,2.5,10.5,
9,Dean Wade,26,PF,44,13,891,2.9,7.2,0.412,1.8,5.1,0.354,1.1,2.0,0.56,0.54,0.6,0.9,0.652,0.8,5.3,6.1,1.5,1.1,0.8,0.7,3.6,8.3,
10,Kevin Love,34,PF,41,3,821,4.9,12.5,0.389,3.0,8.6,0.354,1.8,3.9,0.467,0.511,2.5,2.8,0.889,1.8,10.4,12.3,3.3,0.3,0.3,2.1,2.9,15.2,
11,Ricky Rubio,32,PG,33,2,566,3.9,11.3,0.343,1.3,5.2,0.256,2.5,6.1,0.417,0.402,1.8,2.2,0.8,0.6,3.9,4.5,7.3,1.7,0.4,2.0,3.2,10.9,
12,Raul Neto,30,PG,48,1,505,4.1,7.8,0.518,0.9,3.0,0.286,3.2,4.8,0.662,0.573,2.2,2.4,0.912,0.7,2.6,3.3,5.6,1.2,0.3,1.7,3.5,11.2,
13,Robin Lopez,34,C,37,2,299,5.8,9.0,0.64,0.2,0.5,0.5,5.5,8.5,0.648,0.653,1.7,2.2,0.778,2.8,3.4,6.1,2.3,0.2,1.0,3.0,5.2,13.5,
14,Mamadi Diakite,26,C,22,2,176,4.9,10.2,0.48,1.4,4.3,0.333,3.5,5.9,0.586,0.55,0.4,0.4,1.0,1.6,4.5,6.1,1.6,0.8,1.8,2.5,5.3,11.7,
15,Danny Green,35,SG,8,0,95,7.2,14.4,0.5,4.9,11.0,0.448,2.3,3.4,0.667,0.671,0.4,0.4,1.0,0.8,3.0,3.8,1.5,1.9,1.1,2.7,3.8,19.7,
16,Isaiah Mobley,23,PF,12,0,84,5.1,12.0,0.429,1.3,3.4,0.375,3.9,8.6,0.45,0.482,1.7,1.7,1.0,1.7,6.9,8.6,1.3,1.7,1.3,0.4,3.4,13.3,
17,Sam Merrill,26,SG,5,0,59,5.5,13.4,0.409,3.1,11.0,0.278,2.4,2.4,1.0,0.523,1.2,1.2,1.0,0.0,5.5,5.5,3.1,2.4,0.0,0.0,1.8,15.3,
18,Dylan Windler,26,SF,3,0,10,7.2,10.8,0.667,3.6,7.2,0.5,3.6,3.6,1.0,0.833,0.0,0.0,,0.0,0.0,0.0,3.6,3.6,0.0,3.6,0.0,18.0,
