Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Pascal Siakam,29.0,17,17,603,157,290,0.541,14,47,0.298,143,243,0.588,0.566,39,63,0.619,42,86,128,64,13,7,19,48,367,0,
2.0,Aaron Nesmith,24.0,17,17,559,61,141,0.433,22,79,0.278,39,62,0.629,0.511,34,37,0.919,19,65,84,37,11,9,23,66,178,0,
3.0,Andrew Nembhard,24.0,17,17,554,102,182,0.56,29,60,0.483,73,122,0.598,0.64,20,26,0.769,14,42,56,94,6,4,23,56,253,0,
4.0,Myles Turner,27.0,17,17,550,106,205,0.517,39,86,0.453,67,119,0.563,0.612,38,50,0.76,26,87,113,36,8,25,33,44,289,0,
5.0,Tyrese Haliburton,23.0,15,15,522,105,215,0.488,53,140,0.379,52,75,0.693,0.612,17,20,0.85,12,60,72,123,19,10,31,14,280,1,
6.0,T.J. McConnell,31.0,17,0,348,90,185,0.486,7,26,0.269,83,159,0.522,0.505,13,15,0.867,11,41,52,86,15,2,21,26,200,0,
7.0,Obi Toppin,25.0,17,0,343,73,135,0.541,20,56,0.357,53,79,0.671,0.615,19,25,0.76,10,65,75,29,6,6,14,21,185,0,
8.0,Ben Sheppard,22.0,17,2,335,31,71,0.437,19,50,0.38,12,21,0.571,0.57,7,9,0.778,10,41,51,17,8,1,11,32,88,0,
9.0,Isaiah Jackson,22.0,15,0,154,23,43,0.535,0,0,,23,43,0.535,0.535,11,18,0.611,21,27,48,7,3,13,4,24,57,0,
10.0,Doug McDermott,32.0,10,0,64,5,11,0.455,3,8,0.375,2,3,0.667,0.591,0,0,,2,1,3,7,0,2,1,5,13,0,
11.0,Jalen Smith,23.0,7,0,42,3,8,0.375,2,4,0.5,1,4,0.25,0.5,5,8,0.625,7,7,14,2,2,1,4,8,13,0,
12.0,Jarace Walker,20.0,9,0,31,3,10,0.3,0,3,0.0,3,7,0.429,0.3,2,3,0.667,1,3,4,4,2,1,6,2,8,0,
13.0,Kendall Brown,20.0,7,0,25,2,6,0.333,0,0,,2,6,0.333,0.333,0,0,,0,3,3,2,0,1,3,2,4,0,
14.0,James Johnson,36.0,1,0,1,0,0,,0,0,,0,0,,,1,2,0.5,0,0,0,0,0,0,1,0,1,0,
,Team Totals,,17,17,4131,761,1502,0.507,208,559,0.372,553,943,0.586,0.576,206,276,0.746,175,528,703,508,93,82,194,348,1936,1,
