Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Dejounte Murray,27,78,78,2783,11.6,25.2,0.459,3.5,9.5,0.363,8.1,15.7,0.518,0.528,3.6,4.5,0.794,1.1,6.1,7.2,8.7,1.9,0.4,3.5,2.4,30.2,114,119,
2,Bogdan Bogdanović,31,79,33,2401,9.4,22.0,0.428,4.8,12.8,0.374,4.6,9.2,0.503,0.537,3.0,3.3,0.921,1.1,4.4,5.4,4.9,1.9,0.5,2.2,3.6,26.6,116,120,6MOY-5
3,Saddiq Bey,24,63,51,2062,6.7,16.2,0.416,2.6,8.3,0.316,4.1,7.9,0.522,0.497,4.0,4.7,0.837,3.9,5.7,9.6,2.1,1.2,0.3,1.3,2.0,20.1,120,121,
4,Trae Young,25,54,54,1942,10.7,24.9,0.43,4.3,11.6,0.373,6.4,13.3,0.479,0.516,8.6,10.1,0.855,0.6,3.1,3.7,14.4,1.8,0.3,5.8,2.7,34.3,117,122,AS
5,Jalen Johnson,22,56,52,1889,9.1,17.8,0.511,1.8,5.1,0.355,7.3,12.7,0.574,0.562,2.7,3.7,0.728,1.9,10.5,12.4,5.2,1.7,1.2,2.6,3.4,22.7,117,116,
6,Clint Capela,29,73,73,1883,9.0,15.7,0.571,0.0,0.0,0.0,9.0,15.7,0.572,0.571,3.3,5.2,0.631,8.5,11.2,19.8,2.3,1.1,2.7,1.9,4.2,21.3,128,115,
7,De'Andre Hunter,26,57,37,1681,8.7,18.9,0.459,3.3,8.7,0.385,5.3,10.2,0.521,0.547,4.7,5.6,0.847,0.9,5.4,6.3,2.5,1.1,0.5,2.4,4.2,25.4,115,121,
8,Onyeka Okongwu,23,55,8,1405,7.6,12.5,0.611,0.8,2.4,0.333,6.8,10.1,0.676,0.642,3.1,4.0,0.793,4.9,7.9,12.8,2.5,0.9,2.0,1.5,5.5,19.2,138,118,
9,Garrison Mathews,27,66,5,992,5.0,10.9,0.456,4.1,9.3,0.44,0.9,1.6,0.545,0.644,1.6,2.0,0.81,0.8,3.6,4.4,1.8,1.0,0.4,0.9,5.6,15.7,131,123,
10,Bruno Fernando,25,45,2,682,7.7,13.2,0.583,0.0,0.3,0.0,7.7,12.9,0.596,0.583,4.5,6.8,0.667,4.1,9.4,13.6,3.2,1.8,2.0,3.1,7.5,19.8,118,116,
11,Vit Krejci,23,22,14,541,4.5,9.2,0.49,2.5,6.0,0.412,2.0,3.2,0.639,0.625,0.4,0.5,0.833,1.0,3.6,4.6,4.4,1.2,0.5,1.8,4.3,12.0,122,122,
12,Trent Forrest,25,38,0,414,3.9,10.4,0.378,0.2,1.2,0.2,3.7,9.3,0.4,0.389,1.5,2.0,0.765,1.3,4.6,5.9,10.7,1.3,0.3,2.3,2.9,9.6,109,122,
13,Wesley Matthews,37,36,3,413,3.9,11.3,0.351,2.8,8.0,0.348,1.2,3.3,0.357,0.474,2.1,2.8,0.75,1.0,5.1,6.2,2.7,1.9,1.3,0.9,5.0,12.8,112,119,
14,Patty Mills,35,19,0,202,4.5,12.1,0.373,3.1,8.1,0.382,1.4,4.0,0.353,0.5,0.0,0.0,,1.2,3.6,4.7,3.3,2.1,0.2,1.9,4.0,12.1,102,120,
15,Kobe Bufkin,20,17,0,196,8.3,22.5,0.37,2.2,9.8,0.225,6.1,12.7,0.481,0.418,1.0,2.0,0.5,1.5,6.6,8.1,6.6,1.7,1.2,2.4,4.9,19.8,95,118,
16,AJ Griffin,20,20,0,171,5.0,17.4,0.29,2.8,10.9,0.256,2.2,6.5,0.348,0.371,0.6,0.6,1.0,0.6,4.5,5.0,1.4,0.3,0.6,2.2,1.7,13.5,77,124,
17,Mouhamed Gueye,21,6,0,73,5.3,15.1,0.348,2.0,5.9,0.333,3.3,9.2,0.357,0.413,3.3,3.9,0.833,6.6,7.9,14.5,2.6,3.3,2.6,0.7,8.5,15.8,120,112,
18,Dylan Windler,27,6,0,73,6.6,12.5,0.526,5.3,11.2,0.471,1.3,1.3,1.0,0.737,0.0,0.0,,2.0,5.9,7.9,2.0,1.3,0.0,1.3,2.0,18.4,137,121,
19,Seth Lundy,23,9,0,52,3.7,15.7,0.235,2.8,12.0,0.231,0.9,3.7,0.25,0.324,2.8,3.7,0.75,0.9,5.5,6.5,0.0,0.0,0.0,0.9,5.5,12.9,82,124,
