Player,Team,Update,Description
Scoot Henderson,Portland Trail Blazers,"Fri, Nov 21, 2025",Out (Hamstring) - The Trail Blazers announced Friday (Nov. 21) that Henderson will be re-evaluated in 2-4 weeks.
Jrue Holiday,Portland Trail Blazers,"Wed, Dec 17, 2025",Out (Calf) - The Trail Blazers listed Holiday as Out on Thursday's (Dec. 14) game against the Kings.
Damian Lillard,Portland Trail Blazers,"Thu, Sep 25, 2025",Out For Season (Achilles) - The Trail Blazers said on Thursday (Sept. 25) that Lillard won't be back on the court for the 2025-26 season due to his achilles injury.
Matisse Thybulle,Portland Trail Blazers,"Mon, Dec 1, 2025",Out (Thumb) - The Trail Blazers announced on Monday (Dec. 1) that Thybulle remains to be OUT indefinitely.
Blake Wesley,Portland Trail Blazers,"Wed, Nov 5, 2025","Out (Foot) - Wesley underwent a successful procedure to repair a fracture of the fifth metatarsal base in his right foot Wednesday (Nov. 5), and he's expected to be sidelined for 8-12 weeks, per Brett Siegel of ClutchPoints.com."
