Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 25_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Deni Avdija,25.0,SF,26,26,888,0.469,0.529,0.377,0.544,0.812,0.622,0.592,0.396,100,97,105,100,103.0,107,213,95,-0.8,41.7,
2.0,Toumani Camara,25.0,PF,26,26,861,0.415,0.563,0.337,0.525,0.707,0.542,0.148,0.653,88,103,94,96,90.0,93,53,158,-10.8,-24.0,
3.0,Sidy Cissoko,21.0,SF,21,10,410,0.43,0.548,0.345,0.53,0.684,0.549,0.19,0.58,91,100,96,97,87.0,94,68,140,-2.9,-7.3,
4.0,Donovan Clingan,21.0,C,22,22,552,0.48,0.607,0.237,0.52,0.795,0.559,0.257,0.345,102,111,66,96,101.0,96,92,83,-8.3,-8.9,
5.0,Javonte Cooke,26.0,SG,5,0,31,0.25,0.286,0.2,0.292,,0.292,0.0,0.417,53,52,56,54,,50,0,101,-6.1,-7.0,
6.0,Jerami Grant,31.0,PF,25,13,749,0.438,0.475,0.395,0.529,0.863,0.607,0.474,0.462,93,87,110,97,110.0,104,170,111,-10.4,20.0,
7.0,Jrue Holiday,35.0,PG,12,12,401,0.446,0.531,0.365,0.539,0.84,0.565,0.151,0.512,95,97,101,99,107.0,97,54,124,-1.8,-6.4,
8.0,Caleb Love,24.0,SG,18,0,322,0.34,0.453,0.263,0.418,0.8,0.438,0.094,0.597,72,83,73,77,102.0,75,34,144,-40.2,-48.1,
9.0,Kris Murray,25.0,SF,24,3,599,0.441,0.565,0.265,0.496,0.682,0.517,0.186,0.415,94,103,74,91,87.0,89,67,100,-11.6,-16.9,
10.0,Duop Reath,29.0,C,20,0,169,0.519,0.571,0.5,0.702,0.667,0.703,0.058,0.731,110,104,139,129,85.0,121,21,176,16.3,12.8,
11.0,Rayan Rupert,21.0,SG,19,0,160,0.357,0.409,0.3,0.429,0.5,0.434,0.095,0.476,76,75,83,79,63.0,74,34,115,-9.8,-13.0,
12.0,Shaedon Sharpe,22.0,SG,22,16,627,0.454,0.534,0.306,0.508,0.791,0.554,0.302,0.352,97,98,85,93,100.0,95,108,85,-28.1,-25.2,
13.0,Matisse Thybulle,28.0,SG,4,0,49,0.6,0.5,0.667,0.8,1.0,0.85,0.4,0.6,128,91,185,147,127.0,146,144,145,5.1,6.3,
14.0,Blake Wesley,22.0,SG,6,0,98,0.412,0.5,0.2,0.441,0.6,0.469,0.294,0.294,88,91,56,81,76.0,80,106,71,-7.0,-8.8,
15.0,Robert Williams,28.0,C,16,1,249,0.688,0.768,0.125,0.695,0.545,0.69,0.172,0.125,146,140,35,128,69.0,118,62,30,19.3,14.7,
16.0,Yang Hansen,20.0,C,13,1,100,0.3,0.458,0.063,0.313,0.9,0.383,0.25,0.4,64,84,17,57,114.0,66,90,97,-18.6,-17.8,
,Team Totals,,,26,26,6265,0.444,0.536,0.335,0.521,0.8,0.567,0.307,0.456,95,98,93,96,101.0,97,110,110,-115.7,-87.9,
