Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Donovan Mitchell,25.0,SG,6,6,229,6,85,9,0,0,-9.2,-17.2,7,6,4,1,13,1,79,4,4,
2.0,Bojan Bogdanović,32.0,PF,6,6,214,0,0,2,98,1,-10.5,-18.6,2,6,9,4,9,0,22,0,4,
3.0,Rudy Gobert,29.0,C,6,6,197,0,0,0,0,100,-5.6,0.7,1,4,7,2,16,0,7,2,0,
4.0,Royce O'Neale,28.0,SF,6,6,188,0,6,88,5,0,-14.3,-24.4,0,0,6,3,0,5,21,0,1,
5.0,Mike Conley,34.0,PG,6,6,174,100,0,0,0,0,-9.2,-8.8,9,1,6,1,4,2,70,0,0,
6.0,Jordan Clarkson,29.0,SG,6,0,170,56,44,0,0,0,-1.3,11.1,5,1,6,3,8,1,18,1,2,
7.0,Danuel House Jr.,28.0,SF,6,0,112,0,2,88,11,0,9.0,24.2,3,2,3,1,3,1,11,0,0,
8.0,Hassan Whiteside,32.0,C,6,0,65,0,0,0,0,100,-12.7,-8.9,0,0,5,0,2,0,0,0,1,
9.0,Juancho Hernangómez,26.0,PF,6,0,56,0,0,0,92,8,13.2,23.3,0,0,1,2,0,1,12,0,2,
10.0,Eric Paschall,25.0,PF,4,0,24,0,0,0,19,81,12.1,19.7,0,0,2,0,1,0,0,1,0,
11.0,Nickeil Alexander-Walker,23.0,SG,1,0,5,0,100,0,0,0,40.0,46.7,0,0,0,0,1,0,2,1,0,
12.0,Jared Butler,21.0,SG,1,0,5,100,0,0,0,0,40.0,46.7,0,0,0,0,0,0,0,0,0,
,Team Totals,,,6,6,1439,20,20,20,20,20,-5.8,-5.3,27,20,49,17,57,11,242,9,14,
