Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82.0,19780,3323,7074,0.47,883,2551,0.346,2440,4523,0.539,1607,2050,0.784,833,2713,3546,1906,603,382,1236,1652,9136
Team/G,,241.2,40.5,86.3,0.47,10.8,31.1,0.346,29.8,55.2,0.539,19.6,25.0,0.784,10.2,33.1,43.2,23.2,7.4,4.7,15.1,20.1,111.4
Lg Rank,,22,26,23,21.0,25,27,24.0,17,14,22.0,6,8,16.0,15,14,16,26,12,15,24,16,26
Year/Year,,0.0%,5.9%,-2.3%,0.036,-11.6%,-15.6%,0.016,14.0%,7.2%,0.032,26.5%,27.0%,-0.003,11.7%,-6.0%,-2.3%,-2.1%,8.6%,4.1%,4.0%,2.5%,6.9%
Opponent,82.0,19780,3389,7127,0.476,1064,3030,0.351,2325,4097,0.567,1504,1890,0.796,779,2669,3448,2122,634,415,1204,1681,9346
Opponent/G,,241.2,41.3,86.9,0.476,13.0,37.0,0.351,28.4,50.0,0.567,18.3,23.0,0.796,9.5,32.5,42.0,25.9,7.7,5.1,14.7,20.5,114.0
Lg Rank,,22,11,8,18.0,25,28,6.0,8,4,27.0,12,11,26.0,3,10,8,19,21,22,10,7,15
Year/Year,,0.0%,1.3%,-2.4%,0.017,-1.7%,1.7%,-0.012,2.7%,-5.2%,0.044,5.2%,2.1%,0.024,-8.6%,-11.4%,-10.8%,4.3%,-3.2%,-3.0%,11.6%,12.0%,1.6%
