Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82.0,19880,3553,7315,0.486,1031,2794,0.369,2522,4521,0.558,1357,1696,0.8,890,2607,3497,2254,671,324,1088,1407,9494
Team/G,,242.4,43.3,89.2,0.486,12.6,34.1,0.369,30.8,55.1,0.558,16.5,20.7,0.8,10.9,31.8,42.6,27.5,8.2,4.0,13.3,17.2,115.8
Lg Rank,,2,7,18,5.0,24,27,8.0,3,6,8.0,21,23,5.0,19,25,24,11,13,29,5,4,9
Year/Year,,0.8%,5.0%,0.6%,0.02,-4.8%,-4.8%,0.0,9.6%,4.3%,0.027,-2.8%,-5.2%,0.02,-14.3%,-2.2%,-5.6%,12.8%,9.6%,-3.6%,0.3%,-2.8%,2.6%
Opponent,82.0,19880,3411,7192,0.474,1072,2924,0.367,2339,4268,0.548,1264,1603,0.789,893,2538,3431,2069,575,406,1189,1554,9158
Opponent/G,,242.4,41.6,87.7,0.474,13.1,35.7,0.367,28.5,52.0,0.548,15.4,19.5,0.789,10.9,31.0,41.8,25.2,7.0,5.0,14.5,19.0,111.7
Lg Rank,,2,17,7,25.0,10,5,26.0,20,18,18.0,4,4,23.0,11,2,2,7,3,16,14,10,9
Year/Year,,0.8%,3.2%,2.4%,0.004,4.3%,3.9%,0.001,2.8%,1.3%,0.008,2.2%,-1.0%,0.025,6.4%,1.8%,3.0%,-1.4%,4.2%,-5.8%,9.9%,-0.7%,3.2%
