Rk,Unnamed: 1,Salary
1,Julius Randle,"$18,900,000"
2,RJ Barrett,"$8,231,760"
3,Derrick Rose,"$7,682,926"
4,Joakim Noah,"$6,431,667"
5,Frank Ntilikina,"$6,176,578"
6,Alec Burks,"$6,000,000"
7,Elfrid Payton,"$5,767,000"
8,Nerlens Noel,"$5,000,000"
9,Obi Toppin,"$4,862,040"
10,Kevin Knox,"$4,588,680"
11,Reggie Bullock,"$4,200,000"
12,Terrance Ferguson,"$3,944,013"
13,Luca Vildoza,"$3,500,000"
14,Vincent Poirier,"$2,619,207"
15,Taj Gibson,"$2,442,968"
16,Immanuel Quickley,"$2,105,520"
17,Jacob Evans,"$2,017,320"
18,Omari Spellman,"$1,988,280"
19,Mitchell Robinson,"$1,663,861"
20,Wayne Ellington,"$1,000,000"
21,Norvel Pelle,"$698,040"
22,John Henson,"$110,998"
23,Jared Harper,"$99,020"
24,Tyler Hall,"$25,000"
25,Andrew White,"$25,000"
26,Theo Pinson,$0
27,Myles Powell,$0
