Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Julius Randle,26,71,71,2667,11.3,24.8,0.456,3.0,7.3,0.411,8.3,17.5,0.474,0.516,6.5,8.0,0.811,1.6,12.0,13.6,8.0,1.2,0.3,4.5,4.2,32.1,111,107,"MVP-8,MIP-1,AS,NBA2"
2,RJ Barrett,20,72,72,2511,9.3,21.1,0.441,2.5,6.2,0.401,6.8,15.0,0.457,0.499,4.1,5.5,0.746,1.4,6.9,8.2,4.3,1.1,0.4,2.8,3.7,25.2,106,110,
3,Reggie Bullock,29,65,64,1949,6.4,14.4,0.442,4.2,10.2,0.41,2.2,4.2,0.521,0.587,1.3,1.4,0.909,0.4,5.3,5.7,2.5,1.3,0.3,1.2,3.7,18.2,118,111,
4,Nerlens Noel,26,64,41,1547,4.4,7.2,0.614,0.0,0.1,0.0,4.4,7.1,0.623,0.614,1.6,2.3,0.714,4.6,8.6,13.2,1.5,2.3,4.6,2.1,5.7,10.5,121,101,
5,Elfrid Payton,26,63,63,1484,9.1,21.0,0.432,0.9,3.3,0.286,8.1,17.7,0.46,0.455,2.5,3.6,0.682,2.2,5.1,7.3,6.8,1.6,0.3,3.5,3.9,21.5,99,110,
6,Alec Burks,29,49,5,1255,8.4,19.9,0.42,4.1,9.8,0.415,4.3,10.1,0.425,0.522,4.0,4.7,0.856,0.8,8.2,9.0,4.3,1.2,0.6,2.0,4.1,24.8,114,109,
7,Immanuel Quickley,21,64,3,1243,9.2,23.3,0.395,4.7,12.2,0.389,4.5,11.1,0.401,0.497,6.2,7.0,0.891,1.0,4.5,5.5,5.1,1.2,0.5,2.3,4.6,29.4,113,111,
8,Derrick Rose,32,35,3,937,11.1,22.8,0.487,2.0,4.8,0.411,9.1,18.0,0.507,0.53,3.6,4.1,0.883,0.7,4.6,5.4,7.8,1.7,0.8,2.6,2.1,27.8,115,110,"MVP-9,6MOY-3"
9,Taj Gibson,35,45,3,936,5.3,8.4,0.627,0.2,0.8,0.2,5.1,7.6,0.671,0.636,2.1,2.9,0.727,5.3,8.1,13.4,1.9,1.7,2.6,1.2,5.3,12.9,139,105,
10,Mitchell Robinson,22,31,29,853,6.7,10.3,0.653,0.0,0.0,,6.7,10.3,0.653,0.653,1.5,3.1,0.491,6.6,8.2,14.8,1.0,2.1,2.6,1.5,5.0,15.0,131,104,
11,Obi Toppin,22,62,0,683,7.6,15.3,0.498,1.9,6.2,0.306,5.7,9.1,0.629,0.56,1.4,1.9,0.731,1.9,8.2,10.1,2.1,1.2,1.1,1.7,4.0,18.5,112,108,
12,Kevin Knox,21,42,0,464,6.0,15.4,0.392,3.8,9.6,0.393,2.3,5.8,0.389,0.514,1.7,2.2,0.8,1.1,5.5,6.6,2.0,1.3,0.6,1.8,4.0,17.6,104,110,
13,Austin Rivers,28,21,2,442,6.6,15.3,0.43,3.2,8.7,0.364,3.4,6.6,0.517,0.533,1.1,1.6,0.714,0.6,4.8,5.3,4.8,1.4,0.0,2.5,3.6,17.4,105,112,
14,Frank Ntilikina,22,33,4,322,4.5,12.3,0.367,3.6,7.5,0.479,0.9,4.8,0.194,0.513,1.2,2.8,0.444,0.9,3.9,4.8,3.0,2.8,0.6,1.7,7.0,13.8,102,108,
15,Norvel Pelle,27,9,0,52,4.8,6.7,0.714,0.0,0.0,,4.8,6.7,0.714,0.714,1.0,1.9,0.5,1.9,8.7,10.6,1.0,1.0,5.8,0.0,3.8,10.6,150,103,
16,Theo Pinson,25,17,0,34,1.5,13.2,0.111,0.0,11.8,0.0,1.5,1.5,1.0,0.111,0.0,0.0,,0.0,7.4,7.4,1.5,0.0,0.0,1.5,5.9,2.9,29,113,
17,Dennis Smith Jr.,23,3,0,28,3.6,17.9,0.2,0.0,7.1,0.0,3.6,10.7,0.333,0.2,8.9,10.7,0.833,0.0,3.6,3.6,5.4,5.4,0.0,1.8,7.1,16.1,84,103,
18,Jared Harper,23,8,0,16,0.0,12.5,0.0,0.0,3.1,0.0,0.0,9.4,0.0,0.0,9.4,12.5,0.75,0.0,6.3,6.3,3.1,0.0,0.0,9.4,3.1,9.4,43,114,
19,Ignas Brazdeikis,22,4,0,7,0.0,7.1,0.0,0.0,0.0,,0.0,7.1,0.0,0.0,14.3,14.3,1.0,7.1,7.1,14.3,7.1,0.0,0.0,7.1,0.0,14.3,103,113,
