Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Nickeil Alexander-Walker,26.0,SG,15,0,310,0.389,0.44,0.349,0.487,0.882,0.519,0.15,0.558,83,81,97.0,90,113.0,90,62,132,
2.0,Jaylen Clark,23.0,SG,5,0,28,0.8,1.0,0.0,0.8,0.75,0.814,0.8,0.2,171,183,0.0,147,96.0,141,329,47,
3.0,Mike Conley,37.0,PG,15,15,356,0.302,0.25,0.333,0.406,0.923,0.442,0.135,0.625,65,46,93.0,75,118.0,77,56,148,
4.0,Rob Dillingham,20.0,PG,3,0,16,0.375,0.333,0.5,0.438,0.5,0.45,0.25,0.25,80,61,139.0,81,64.0,78,103,59,
5.0,Donte DiVincenzo,28.0,SG,15,0,377,0.365,0.474,0.318,0.476,0.769,0.493,0.103,0.698,78,87,88.0,88,99.0,86,42,166,
6.0,Anthony Edwards,23.0,SG,15,15,585,0.453,0.53,0.354,0.53,0.719,0.564,0.299,0.436,97,97,98.0,98,92.0,98,123,104,
7.0,Luka Garza,26.0,C,5,0,19,1.0,1.0,1.0,1.083,,1.083,0.0,0.167,214,183,278.0,199,,188,0,40,
8.0,Rudy Gobert,32.0,C,15,15,411,0.582,0.582,,0.582,0.52,0.584,0.633,0.0,125,107,,107,67.0,101,261,0,
9.0,Jaden McDaniels,24.0,PF,15,15,497,0.515,0.579,0.382,0.577,0.893,0.607,0.166,0.325,110,106,106.0,106,114.0,105,68,77,
10.0,Leonard Miller,21.0,SF,3,0,13,0.75,0.714,1.0,0.813,,0.813,0.0,0.125,161,131,278.0,150,,141,0,30,
11.0,Josh Minott,22.0,SF,5,0,23,0.25,0.5,0.167,0.313,,0.313,0.0,0.75,54,92,46.0,58,,54,0,178,
12.0,Julius Randle,30.0,PF,15,15,533,0.502,0.563,0.385,0.568,0.88,0.622,0.328,0.341,107,103,107.0,105,113.0,108,135,81,
13.0,Naz Reid,25.0,C,15,0,375,0.509,0.66,0.397,0.623,0.76,0.645,0.227,0.573,109,121,110.0,115,97.0,112,94,136,
14.0,Terrence Shannon Jr.,24.0,SG,9,0,57,0.481,0.526,0.375,0.537,1.0,0.635,0.444,0.296,103,97,104.0,99,128.0,110,183,70,
,Team Totals,,,15,15,3600,0.462,0.541,0.358,0.539,0.771,0.574,0.256,0.434,99,99,99.0,99,99.0,100,105,103,
