Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Anthony Edwards,23,15,15,585,11.6,25.7,0.453,4.0,11.2,0.354,7.7,14.5,0.53,0.53,5.5,7.7,0.719,1.6,8.5,10.1,7.1,1.5,0.9,3.4,2.8,32.8,116,111,
2,Julius Randle,30,15,15,533,10.9,21.7,0.502,2.8,7.4,0.385,8.0,14.3,0.563,0.568,6.2,7.1,0.88,2.6,5.8,8.3,7.0,1.1,0.2,4.6,4.3,30.9,120,115,
3,Jaden McDaniels,24,15,15,497,8.8,17.2,0.515,2.1,5.6,0.382,6.7,11.6,0.579,0.577,2.5,2.8,0.893,2.7,5.8,8.5,2.3,1.9,1.3,1.8,5.1,22.3,122,111,
4,Rudy Gobert,32,15,15,411,5.6,9.7,0.582,0.0,0.0,,5.6,9.7,0.582,0.582,3.2,6.1,0.52,5.8,10.1,15.8,1.4,1.0,2.2,1.6,4.7,14.5,124,110,
5,Donte DiVincenzo,28,15,0,377,6.2,16.9,0.365,3.7,11.8,0.318,2.4,5.1,0.474,0.476,1.3,1.7,0.769,1.6,4.6,6.2,6.7,2.8,0.5,3.7,6.0,17.4,101,111,
6,Naz Reid,25,15,0,375,7.5,14.8,0.509,3.4,8.5,0.397,4.2,6.3,0.66,0.623,2.6,3.4,0.76,2.2,7.4,9.6,3.4,1.5,1.9,3.8,5.8,21.0,113,111,
7,Mike Conley,37,15,15,356,4.1,13.6,0.302,2.8,8.5,0.333,1.3,5.1,0.25,0.406,1.7,1.8,0.923,1.7,4.5,6.2,7.1,1.3,0.4,1.7,3.0,12.8,109,115,
8,Nickeil Alexander-Walker,26,15,0,310,7.2,18.4,0.389,3.6,10.3,0.349,3.6,8.1,0.44,0.487,2.4,2.8,0.882,1.3,3.1,4.4,5.7,1.0,0.8,3.7,3.9,20.3,103,116,
9,Terrence Shannon Jr.,24,9,0,57,11.5,23.9,0.481,2.7,7.1,0.375,8.9,16.8,0.526,0.537,10.6,10.6,1.0,0.9,8.0,8.9,2.7,3.5,0.0,2.7,8.0,36.3,126,108,
10,Jaylen Clark,23,5,0,28,7.2,9.0,0.8,0.0,1.8,0.0,7.2,7.2,1.0,0.8,5.4,7.2,0.75,3.6,9.0,12.6,1.8,3.6,0.0,1.8,3.6,19.8,150,107,
11,Josh Minott,22,5,0,23,4.4,17.5,0.25,2.2,13.2,0.167,2.2,4.4,0.5,0.313,0.0,0.0,,0.0,0.0,0.0,4.4,0.0,2.2,4.4,2.2,11.0,65,119,
12,Luka Garza,26,5,0,19,15.9,15.9,1.0,2.7,2.7,1.0,13.3,13.3,1.0,1.083,0.0,0.0,,8.0,0.0,8.0,0.0,0.0,0.0,0.0,2.7,34.5,220,122,
13,Rob Dillingham,20,3,0,16,9.5,25.2,0.375,3.2,6.3,0.5,6.3,18.9,0.333,0.438,3.2,6.3,0.5,0.0,6.3,6.3,22.1,0.0,0.0,0.0,3.2,25.2,131,117,
14,Leonard Miller,21,3,0,13,23.3,31.0,0.75,3.9,3.9,1.0,19.4,27.2,0.714,0.813,0.0,0.0,,11.6,7.8,19.4,0.0,0.0,0.0,3.9,0.0,50.5,140,116,
