Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Anthony Edwards,23.0,15,15,585,135,298,0.453,46,130,0.354,89,168,0.53,0.53,64,89,0.719,18,99,117,82,17,11,39,32,380,0,
2.0,Julius Randle,30.0,15,15,533,115,229,0.502,30,78,0.385,85,151,0.563,0.568,66,75,0.88,27,61,88,74,12,2,49,45,326,1,
3.0,Jaden McDaniels,24.0,15,15,497,87,169,0.515,21,55,0.382,66,114,0.579,0.577,25,28,0.893,27,57,84,23,19,13,18,50,220,0,
4.0,Rudy Gobert,32.0,15,15,411,46,79,0.582,0,0,,46,79,0.582,0.582,26,50,0.52,47,82,129,11,8,18,13,38,118,0,
5.0,Donte DiVincenzo,28.0,15,0,377,46,126,0.365,28,88,0.318,18,38,0.474,0.476,10,13,0.769,12,34,46,50,21,4,28,45,130,0,
6.0,Naz Reid,25.0,15,0,375,56,110,0.509,25,63,0.397,31,47,0.66,0.623,19,25,0.76,16,55,71,25,11,14,28,43,156,0,
7.0,Mike Conley,37.0,15,15,356,29,96,0.302,20,60,0.333,9,36,0.25,0.406,12,13,0.923,12,32,44,50,9,3,12,21,90,0,
8.0,Nickeil Alexander-Walker,26.0,15,0,310,44,113,0.389,22,63,0.349,22,50,0.44,0.487,15,17,0.882,8,19,27,35,6,5,23,24,125,0,
9.0,Terrence Shannon Jr.,24.0,9,0,57,13,27,0.481,3,8,0.375,10,19,0.526,0.537,12,12,1.0,1,9,10,3,4,0,3,9,41,0,
10.0,Jaylen Clark,23.0,5,0,28,4,5,0.8,0,1,0.0,4,4,1.0,0.8,3,4,0.75,2,5,7,1,2,0,1,2,11,0,
11.0,Josh Minott,22.0,5,0,23,2,8,0.25,1,6,0.167,1,2,0.5,0.313,0,0,,0,0,0,2,0,1,2,1,5,0,
12.0,Luka Garza,26.0,5,0,19,6,6,1.0,1,1,1.0,5,5,1.0,1.083,0,0,,3,0,3,0,0,0,0,1,13,0,
13.0,Rob Dillingham,20.0,3,0,16,3,8,0.375,1,2,0.5,2,6,0.333,0.438,1,2,0.5,0,2,2,7,0,0,0,1,8,0,
14.0,Leonard Miller,21.0,3,0,13,6,8,0.75,1,1,1.0,5,7,0.714,0.813,0,0,,3,2,5,0,0,0,1,0,13,0,
,Team Totals,,15,15,3600,592,1282,0.462,199,556,0.358,393,726,0.541,0.539,253,328,0.771,176,457,633,363,109,71,217,312,1636,1,
