Rk,Unnamed: 1,Salary
1,Rudy Gobert,"$43,827,586"
2,Anthony Edwards,"$42,176,400"
3,Julius Randle,"$33,073,920"
4,Jaden McDaniels,"$23,017,242"
5,Naz Reid,"$13,986,432"
6,Donte DiVincenzo,"$11,445,000"
7,Mike Conley,"$9,975,962"
8,Rob Dillingham,"$6,262,920"
9,Nickeil Alexander-Walker,"$4,312,500"
10,Keita Bates-Diop,"$2,654,644"
11,Terrence Shannon,"$2,546,640"
12,Luka Garza,"$2,162,606"
13,Joe Ingles,"$2,087,519"
14,Josh Minott,"$2,019,699"
15,Leonard Miller,"$1,891,857"
16,PJ Dozier,"$1,051,255"
17,Jaylen Clark,"$492,323"
18,Jesse Edwards,
19,Daishen Nix,
20,Tristen Newton,
21,Jaylen Clark,
22,Bones Hyland,
