Rk,Unnamed: 1,Salary
1,Trae Young,"$37,096,500"
2,John Collins,"$23,500,000"
3,Clint Capela,"$18,706,897"
4,Bogdan Bogdanović,"$18,000,000"
5,Dejounte Murray,"$16,571,120"
6,De'Andre Hunter,"$9,835,881"
7,Onyeka Okongwu,"$6,395,160"
8,AJ Griffin,"$3,536,160"
9,Saddiq Bey,"$2,959,080"
10,Jalen Johnson,"$2,792,640"
11,Bruno Fernando,"$2,717,391"
12,Garrison Mathews,"$2,000,000"
13,Aaron Holiday,"$1,836,090"
14,Vit Krejci,"$1,563,518"
15,Tyrese Martin,"$1,017,781"
16,Derrick Favors,"$105,522"
17,Sharife Cooper,
18,Trent Forrest,
19,Jarrett Culver,
20,Donovan Williams,
