No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
9,Moses Brown,C,7-2,258,"October 13, 1999",us US,5,UCLA
0,Max Christie,SG,6-5,190,"February 10, 2003",us US,2,Michigan State
3,Anthony Davis,PF,6-10,253,"March 11, 1993",us US,12,Kentucky
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us US,10,Colorado
77,Luka Dončić,PG,6-8,230,"February 28, 1999",si SI,6,
20,Kessler Edwards,SF,6-8,203,"August 9, 2000",us US,3,Pepperdine
0,Dante Exum,PG,6-5,214,"July 13, 1995",au AU,7,
21,Daniel Gafford,C,6-10,265,"October 1, 1998",us US,5,Arkansas
0,Jazian Gortman,PG,6-2,184,"April 14, 2003",us US,R,
5,Quentin Grimes,SG,6-4,210,"May 8, 2000",us US,3,"Kansas, Houston"
1,Jaden Hardy,SG,6-3,198,"July 5, 2002",us US,2,
11,Kyrie Irving,SG,6-2,195,"March 23, 1992",au AU,13,Duke
23,Kai Jones,C,6-11,221,"January 19, 2001",bs BS,2,Texas
50,Kylor Kelley,C,7-0,215,"August 26, 1997",us US,R,Oregon State
42,Maxi Kleber,PF,6-10,240,"January 29, 1992",de DE,7,
2,Dereck Lively II,C,7-1,230,"February 12, 2004",us US,1,Duke
13,Naji Marshall,SF,6-6,220,"January 24, 1998",us US,4,Xavier
16,Caleb Martin,SF,6-5,205,"September 28, 1995",us US,5,"NC State, Nevada"
88,Markieff Morris,PF,6-9,245,"September 2, 1989",us US,13,Kansas
7,Dwight Powell,C,6-10,240,"July 20, 1991",ca CA,10,Stanford
8,Olivier-Maxence Prosper,PF,6-7,230,"July 3, 2002",ca CA,1,"Clemson, Marquette"
31,Klay Thompson,SF,6-5,220,"February 8, 1990",us US,11,Washington State
25,P.J. Washington,PF,6-7,230,"August 23, 1998",us US,5,Kentucky
10,Brandon Williams,PG,6-1,190,"November 22, 1999",us US,2,Arizona
