No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
24.0,Devin Vassell,SG,6-5,200,"August 23, 2000",us US,5,Florida State
40.0,Harrison Barnes,PF,6-7,225,"May 30, 1992",us US,13,UNC
3.0,Keldon Johnson,SF,6-6,220,"October 11, 1999",us US,6,Kentucky
30.0,Julian Champagnie,SF,6-7,217,"June 29, 2001",us US,3,St. John's
11.0,Carter Bryant,PF,6-6,220,"November 26, 2005",us US,R,Arizona
4.0,De'Aaron Fox,PG,6-3,185,"December 20, 1997",us US,8,Kentucky
7.0,Luke Kornet,C,7-1,250,"July 15, 1995",us US,8,Vanderbilt
10.0,Jeremy Sochan,PF,6-8,230,"May 20, 2003",us US,3,Baylor
5.0,Stephon Castle,PG,6-6,215,"November 1, 2004",us US,1,UConn
2.0,Dylan Harper,SG,6-5,215,"March 2, 2006",us US,R,Rutgers University
8.0,Kelly Olynyk,C,7-0,240,"April 19, 1991",ca CA,12,Gonzaga
1.0,Victor Wembanyama,C,7-4,235,"January 4, 2004",fr FR,2,
43.0,Lindy Waters III,SG,6-5,210,"July 28, 1997",us US,4,Oklahoma State
25.0,David Jones García (TW),SF,6-4,210,"November 24, 2001",do DO,R,"DePaul, St. John's, Memphis"
0.0,Jordan McLaughlin,PG,5-11,185,"April 9, 1996",us US,6,USC
18.0,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd CD,14,
55.0,Harrison Ingram (TW),SF,6-5,230,"November 27, 2002",us US,1,"Stanford, UNC"
,Kyle Mangas (TW),PG,6-4,200,"April 8, 1999",us US,R,Indiana Wesleyan University
