No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Santi Aldama,PF,7-0,215,"January 10, 2001",es ES,3,Loyola (MD)
35,Marvin Bagley III,PF,6-10,235,"March 14, 1999",us US,6,Duke
22,Desmond Bane,SG,6-6,215,"June 25, 1998",us US,4,TCU
8,Colin Castleton,C,6-10,250,"May 25, 2000",us US,1,"Michigan, Florida"
15,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca CA,5,"San Jose State, Gonzaga"
14,Zach Edey,C,7-3,305,"May 14, 2002",ca CA,R,Purdue
30,Jay Huff,C,7-1,240,"August 25, 1998",us US,3,Virginia
45,GG Jackson II,PF,6-9,210,"December 17, 2004",us US,1,South Carolina
13,Jaren Jackson Jr.,C,6-10,242,"September 15, 1999",us US,6,Michigan State
17,Yuki Kawamura,PG,5-7,159,"May 2, 2001",jp JP,R,
10,Luke Kennard,SG,6-5,206,"June 24, 1996",us US,7,Duke
46,John Konchar,SG,6-5,210,"March 22, 1996",us US,5,Purdue-Fort Wayne
3,Jake LaRavia,PF,6-7,235,"November 3, 2001",us US,2,"Indiana State University, Wake Forest"
12,Ja Morant,PG,6-2,174,"August 10, 1999",us US,5,Murray State
1,Scotty Pippen Jr.,PG,6-2,170,"November 10, 2000",us US,2,Vanderbilt
2,Zyon Pullin,SG,6-4,206,"March 3, 2001",us US,R,"University of California, Riverside, Florida"
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us US,10,Oklahoma State
24,Cam Spencer,SG,6-3,205,"April 6, 2000",us US,R,"Loyola (MD), Rutgers University, UConn"
8,Lamar Stevens,PF,6-7,230,"July 9, 1997",us US,4,Penn State
0,Jaylen Wells,SG,6-7,206,"August 26, 2003",us US,R,"Sonoma State University, Washington State"
5,Vince Williams Jr.,SG,6-4,205,"August 30, 2000",us US,2,VCU
