No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
13.0,Naji Marshall,SF,6-6,220,"January 24, 1998",us US,5,Xavier
0.0,Max Christie,SG,6-5,190,"February 10, 2003",us US,3,Michigan State
32.0,Cooper Flagg,SF,6-9,205,"December 21, 2006",us US,R,Duke
31.0,Klay Thompson,SF,6-5,220,"February 8, 1990",us US,12,Washington State
10.0,Brandon Williams,PG,6-1,190,"November 22, 1999",us US,3,Arizona
25.0,P.J. Washington,PF,6-7,230,"August 23, 1998",us US,6,Kentucky
7.0,Dwight Powell,C,6-10,240,"July 20, 1991",ca CA,11,Stanford
16.0,Caleb Martin,SF,6-5,205,"September 28, 1995",us US,6,"NC State, Nevada"
5.0,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us US,10,Ohio State
1.0,Jaden Hardy,SG,6-3,198,"July 5, 2002",us US,3,
30.0,Moussa Cisse (TW),C,6-11,220,"September 10, 2002",gn GN,R,"Oklahoma State, Ole Miss, Memphis"
21.0,Daniel Gafford,C,6-10,265,"October 1, 1998",us US,6,Arkansas
9.0,Ryan Nembhard (TW),PG,5-11,180,"March 10, 2003",ca CA,R,"Creighton, Gonzaga"
3.0,Anthony Davis,PF,6-10,253,"March 11, 1993",us US,13,Kentucky
2.0,Dereck Lively II,C,7-1,230,"February 12, 2004",us US,2,Duke
14.0,Miles Kelly (TW),PG,6-4,190,"January 26, 2003",us US,R,"Georgia Tech, Auburn"
,Kyrie Irving,SG,6-2,195,"March 23, 1992",au AU,14,Duke
,Dante Exum,PG,6-5,214,"July 13, 1995",au AU,8,
