No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
10.0,DeMar DeRozan,PF,6-6,220,"August 7, 1989",us US,16,USC
18.0,Russell Westbrook,SF,6-4,200,"November 12, 1988",us US,17,UCLA
19.0,Drew Eubanks,C,6-10,245,"February 1, 1997",us US,7,Oregon State
23.0,Keon Ellis,SG,6-4,175,"January 8, 2000",us US,3,"Florida SouthWestern State College, Alabama"
8.0,Zach LaVine,SG,6-5,200,"March 10, 1995",us US,11,UCLA
0.0,Malik Monk,SG,6-3,200,"February 4, 1998",us US,8,Kentucky
5.0,Nique Clifford,SG,6-5,175,"February 9, 2002",us US,R,"Colorado, Colorado State"
17.0,Dennis Schröder,PG,6-1,175,"September 15, 1993",de DE,12,
9.0,Precious Achiuwa,C,6-8,243,"September 19, 1999",ng NG,5,Memphis
42.0,Maxime Raynaud,C,7-1,250,"April 7, 2003",fr FR,R,Stanford
11.0,Domantas Sabonis,C,6-10,240,"May 3, 1996",us US,9,Gonzaga
13.0,Keegan Murray,PF,6-8,225,"August 19, 2000",us US,3,Iowa
22.0,Devin Carter,PG,6-2,195,"March 18, 2002",us US,1,"South Carolina, Providence"
32.0,Dylan Cardwell (TW),C,6-10,255,"December 16, 2001",us US,R,Auburn
20.0,Dario Šarić,C,6-10,225,"April 8, 1994",hr HR,8,
7.0,Doug McDermott,SF,6-7,225,"January 3, 1992",us US,11,Creighton
29.0,Daeqwon Plowden (TW),SG,6-4,216,"August 29, 1998",us US,1,Bowling Green
,Isaiah Stevens (TW),PG,5-11,185,"November 1, 2000",us US,1,Colorado State
