No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
22,Devin Carter,PG,6-2,195,"March 18, 2002",us US,R,"South Carolina, Providence"
24,Isaiah Crawford,SF,6-6,220,"November 1, 2001",us US,R,Louisiana Tech
99,Jae Crowder,PF,6-6,235,"July 6, 1990",us US,12,Marquette
9,Terence Davis,SG,6-4,201,"May 16, 1997",us US,4,Ole Miss
10,DeMar DeRozan,SF,6-6,220,"August 7, 1989",us US,15,USC
23,Keon Ellis,SG,6-4,175,"January 8, 2000",us US,2,"Florida SouthWestern State College, Alabama"
5,De'Aaron Fox,PG,6-3,185,"December 20, 1997",us US,7,Kentucky
20,Markelle Fultz,PG,6-4,209,"May 29, 1998",us US,7,Washington
9,Kevin Huerter,SG,6-6,198,"August 27, 1998",us US,6,Maryland
20,Colby Jones,SG,6-6,207,"May 28, 2002",us US,1,Xavier
"3, 17",Isaac Jones,PF,6-8,245,"July 11, 2000",us US,R,"Wenatchee Valley College, Idaho, Washington State"
15,Mason Jones,SG,6-4,200,"July 21, 1998",us US,3,"Connors State College, Arkansas"
25,Skal Labissière,PF,6-10,235,"March 18, 1996",ht HT,4,Kentucky
33,Jake LaRavia,PF,6-7,235,"November 3, 2001",us US,2,"Indiana State University, Wake Forest"
8,Zach LaVine,SG,6-5,200,"March 10, 1995",us US,10,UCLA
25,Alex Len,C,7-0,250,"June 16, 1993",ua UA,11,Maryland
41,Trey Lyles,PF,6-9,234,"November 5, 1995",ca CA,9,Kentucky
7,Doug McDermott,SF,6-7,225,"January 3, 1992",us US,10,Creighton
3,Jordan McLaughlin,PG,5-11,185,"April 9, 1996",us US,5,USC
0,Malik Monk,SG,6-3,200,"February 4, 1998",us US,7,Kentucky
13,Keegan Murray,PF,6-8,225,"August 19, 2000",us US,2,Iowa
77,Orlando Robinson,C,6-10,235,"July 10, 2000",us US,2,Fresno State
11,Domantas Sabonis,C,6-10,240,"May 3, 1996",us US,8,Gonzaga
32,Terry Taylor,PF,6-5,230,"September 23, 1999",us US,3,Austin Peay State University
17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt LT,12,
