No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
14,Matas Buzelis,PF,6-8,209,"October 13, 2004",us US,1,
9,Nikola Vučević,C,6-9,260,"October 24, 1990",ch CH,14,USC
44,Patrick Williams,PF,6-6,215,"August 26, 2001",us US,5,Florida State
3,Josh Giddey,PG,6-7,216,"October 10, 2002",au AU,4,
15,Julian Phillips,SF,6-6,198,"November 5, 2003",us US,2,Tennessee
13,Kevin Huerter,SF,6-6,198,"August 27, 1998",us US,7,Maryland
25,Jalen Smith,C,6-8,215,"March 16, 2000",us US,5,Maryland
11,Ayo Dosunmu,SG,6-4,200,"January 17, 2000",us US,4,Illinois
30,Tre Jones,PG,6-1,185,"January 8, 2000",us US,5,Duke
35,Isaac Okoro,SG,6-4,225,"January 26, 2001",us US,5,Auburn
7,Dalen Terry,SG,6-6,195,"July 12, 2002",us US,3,Arizona
5,Jevon Carter,PG,6-0,200,"September 14, 1995",us US,7,West Virginia
0,Coby White,SG,6-4,195,"February 16, 2000",us US,6,UNC
12,Zach Collins,C,6-9,250,"November 19, 1997",us US,7,Gonzaga
2,Emanuel Miller (TW),PF,6-5,215,"June 19, 2000",ca CA,1,"Texas A&M, TCU"
47,Lachlan Olbrich (TW),C,6-8,236,"December 30, 2003",au AU,R,"University of California, Riverside"
0,Trentyn Flowers (TW),SF,6-9,185,"March 8, 2005",us US,1,
24,Noa Essengue,PF,6-8,200,"December 18, 2006",fr FR,R,
